Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,R2,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2,CM_TN,CM_FP,CM_FN,CM_TP
pred_TemporalFusionTransformer,2.1089369422886675,2.766292616763364,1.4938118303003016,1.4962509211071815,1.4913003071830373,0.5759158921712229,-22.776465703964245,0.6814012658749344,-2.249828206304658,0.6341238425531734,1.128250491605159,1.0632521651100484,1770.075359983805,870.2304840087891,899.8448759750158,1.1282504916051588,1.0632521651100482,1282.5049160515869,632.5216511004833,649.9832649511036,107,78,97,136
pred_PatchTST,1.7993946077675946,2.257039003854074,1.2730859140693467,1.2805448141947828,1.275817203902902,0.4775964500671877,-57.3105416173935,0.45132979117942745,-4.701126445016992,0.7590591263142749,1.0341903702500566,1.0632521651100484,454.09312084985004,870.2304840087891,-416.13736315893897,1.0341903702500566,1.0632521651100482,341.9037025005664,632.5216511004833,-290.6179485999169,138,47,169,64
pred_DeepAR,3.780734979820341,4.698380360418097,2.7246770091611325,2.7672593444427127,2.73591913471516,0.49939487817629546,-47.96778811836241,0.523776734392549,-3.805441604829597,-0.26465850017196935,1.0723223175956615,1.0632521651100484,990.874505138539,870.2304840087891,120.64402112974994,1.072322317595662,1.0632521651100482,723.2231759566184,632.5216511004833,90.70152485613517,127,58,149,84
pred_Chronos2,1.4831543508737912,1.9420703745422732,1.0589690673662648,1.0587226859419494,1.0554408454887823,0.5161470958041142,-18.86490561103821,0.5262712947370699,-3.6513140600341916,0.8150136478646438,1.017717647629837,1.0632521651100484,243.75965686775862,870.2304840087891,-626.4708271410304,1.0177176476298373,1.0632521651100482,177.17647629837302,632.5216511004833,-455.34517480211025,86,99,101,132
pred_KNeighborsRegressor,6.948124119455998,8.21983865386872,4.779039972621527,4.925703568733345,4.857620369152396,0.4777316897178978,-48.28338761711121,0.5633807149441645,-3.6950656558574693,-1.4664956215632472,1.0773609229840244,1.0632521651100484,1059.2663402523044,870.2304840087891,189.03585624351535,1.0773609229840249,1.0632521651100482,773.6092298402491,632.5216511004833,141.08757873976583,142,43,173,60
pred_HistGradientBoostingRegressor,4.879562142414038,5.990707273213385,3.46616758220061,3.495161973600317,3.4741028846191924,0.4806125535233601,-52.279074564933765,0.5143616878814669,-3.964039897888962,-0.8018416841604337,1.0516935276626516,1.0632521651100484,710.5040013897615,870.2304840087891,-159.7264826190276,1.0516935276626516,1.0632521651100482,516.9352766265174,632.5216511004833,-115.58637447396586,125,60,155,78
pred_RandomForestRegressor,4.319957020608877,5.185198052652476,3.052974998925527,3.115017771644011,3.0718536707666115,0.45445966790672354,-58.396915975570685,0.4827232570269293,-4.52511636824474,-0.22684629872449433,1.0390143307967725,1.0632521651100484,542.0044331005001,870.2304840087891,-328.2260509082889,1.0390143307967725,1.0632521651100482,390.1433079677249,632.5216511004833,-242.37834313275835,144,41,185,48
pred_LinearRegression,9.61746593985247,10.963912748250372,6.794075425333542,6.837659644893153,6.8226774140082735,0.4707206156212598,-63.20818841934204,0.4685882634695874,-4.3637081220944385,-6.031868031208077,1.0320038529354945,1.0632521651100484,426.2024741473879,870.2304840087891,-444.0280098614012,1.0320038529354942,1.0632521651100482,320.0385293549434,632.5216511004833,-312.4831217455399,101,84,135,98
pred_Ridge,8.466798824886993,9.376414302926351,6.042011325804893,5.978366767006119,6.0532515709195565,0.4880293465721285,-54.32941246604919,0.5151484078736344,-3.7666912410536426,-4.772242539877238,1.0636035365729093,1.0632521651100484,864.8457224962176,870.2304840087891,-5.384761512571458,1.0636035365729093,1.0632521651100482,636.035365729093,632.5216511004833,3.513714628609719,96,89,123,110
pred_Lasso,1.952629497409506,2.384695409791551,1.4022752146577897,1.3964424139202145,1.4015104017857496,0.45967352370582565,-40.06857931804657,0.49878848502187817,-3.993288516694075,0.7138714745618933,1.0427927281903977,1.0632521651100484,596.0953729402236,870.2304840087891,-274.1351110685655,1.0427927281903977,1.0632521651100482,427.9272819039761,632.5216511004833,-204.59436919650716,107,78,146,87
