Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,R2,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2,CM_TN,CM_FP,CM_FN,CM_TP
pred_TemporalFusionTransformer,0.8826973840908314,1.0622066900596023,3.2197804214451,3.2806749440441925,3.2146983880823257,0.4735132076595491,-5.9505425878524765,0.4832864414632252,-4.120908133744793,-0.24566268312144102,0.9809424588328127,1.055266441787103,-43.86666816903598,137.55519866943337,-181.42186683846936,0.9809424588328127,1.055266441787103,-190.575411671873,552.6644178710278,-743.2398295429008,67,33,73,34
pred_PatchTST,0.8213912257525005,0.94603527199114,2.902906681184207,2.96283105749,2.897909223205492,0.4669317132731766,-5.1192620927810655,0.5843267220554587,-3.335298621469728,0.16807490455010715,1.0046696090367682,1.055266441787103,-5.581030414500492,137.55519866943337,-143.13622908393387,1.0046696090367682,1.055266441787103,46.696090367681975,552.6644178710278,-505.9683275033458,51,49,59,48
pred_DeepAR,0.9686486580785513,1.136828789709543,3.4571177564642186,3.540836797691182,3.488059986754024,0.488250394591858,-5.590466633605955,0.5644171483946661,-3.423131725140898,-0.3413168043567393,1.0145063933720144,1.055266441787103,22.087568405802088,137.55519866943337,-115.46763026363128,1.0145063933720146,1.055266441787103,145.06393372014682,552.6644178710278,-407.60048415088096,78,22,81,26
pred_Chronos2,0.41088354211685224,0.5326281803374269,1.52984578612121,1.5310731444356933,1.5228412333037058,0.5058887995473361,-2.7683352050781282,0.4837820820125799,-4.11144358656342,0.6606516708128617,1.0010987154014146,1.055266441787103,-4.479771506922316,137.55519866943337,-142.03497017635567,1.0010987154014144,1.055266441787103,10.98715401414447,552.6644178710278,-541.6772638568833,41,59,41,66
pred_KNeighborsRegressor,2.4116488608154656,2.5656129215606653,8.89575780371481,9.538658897406412,8.979096240504244,0.49586944221090556,-5.659608424758912,0.5373646575839329,-3.512645563974362,-7.449952775010411,1.0023777388139554,1.055266441787103,12.591980161452511,137.55519866943337,-124.96321850798086,1.0023777388139556,1.055266441787103,23.777388139555477,552.6644178710278,-528.8870297314722,84,16,85,22
pred_HistGradientBoostingRegressor,1.8032729860891585,1.971744974704345,6.780870796914606,7.234829957536329,6.8563391423479825,0.49185860210250454,-4.6224837354660036,0.6150864784962484,-2.9319443249066475,-5.638731106671702,1.025624345986267,1.055266441787103,60.02779335137939,137.55519866943337,-77.527405318054,1.025624345986267,1.055266441787103,256.24345986267144,552.6644178710278,-296.4209580083563,88,12,90,17
pred_RandomForestRegressor,1.5664573984899317,1.750196282746068,5.889689687630737,6.21856250859801,5.959104896352704,0.5168158670597695,-4.796344707107544,0.6421834655674321,-2.8953091537920894,-4.039706587306121,1.01746602951464,1.055266441787103,45.00533000741038,137.55519866943337,-92.54986866202299,1.0174660295146403,1.055266441787103,174.66029514640178,552.6644178710278,-378.004122724626,85,15,82,25
pred_LinearRegression,1.6287622973415892,1.989885484747169,6.064263698795868,6.234437161612371,6.062883489728998,0.4971702552190357,-4.280307489776609,0.5990985756356653,-2.922635687620836,-4.891811992066302,1.034639057876525,1.055266441787103,95.38269370437487,137.55519866943337,-42.17250496505849,1.034639057876525,1.055266441787103,346.3905787652504,552.6644178710278,-206.27383910577737,70,30,71,36
pred_Ridge,1.8411360761198168,2.0101784292239473,6.7702363636965455,7.080026674673839,6.817592747962399,0.4736472199886833,-6.053780141067508,0.5024046049235527,-3.799837656839437,-4.308844672984678,0.9929389169807352,1.055266441787103,-9.04512111576346,137.55519866943337,-146.60031978519683,0.9929389169807354,1.055266441787103,-70.6108301926466,552.6644178710278,-623.2752480636743,78,22,84,23
pred_Lasso,0.6594483312954529,0.7717681333676902,2.435789590974344,2.459554057264217,2.4392001513637984,0.4838369218857023,-5.030222263908381,0.6106328247006216,-3.139763373131641,0.2709845495517701,1.0231384726228527,1.055266441787103,47.122660480639105,137.55519866943337,-90.43253818879425,1.0231384726228527,1.055266441787103,231.3847262285275,552.6644178710278,-321.2796916425003,65,35,69,38
