Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,R2,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2,CM_TN,CM_FP,CM_FN,CM_TP
pred_TemporalFusionTransformer,2.1728104992644184,2.8163753063321804,1.933817609175895,1.928742084205047,1.8974907773972078,0.45770531963106775,-42.46190814743041,0.46341834449305297,-4.830155637364432,0.868981216015736,1.0599301519700153,1.1836627202847465,395.2462586545795,1256.1393737792957,-860.8931151247165,1.0599301519700155,1.1836627202847467,599.301519700155,1836.6272028474657,-1237.3256831473107,121,112,172,123
pred_PatchTST,2.1131625528202713,2.5557210633494867,1.8664320887351011,1.8866582768559532,1.860416306560666,0.5186660297317932,-41.11472752609253,0.4977194852113674,-4.012289494845707,0.8251054893556462,1.1030134292565394,1.1836627202847465,553.3742415864668,1256.1393737792957,-702.765132192829,1.1030134292565397,1.1836627202847467,1030.1342925653958,1836.6272028474657,-806.49291028207,96,137,114,181
pred_DeepAR,3.1570896590521085,3.6575469827404588,2.6931869461429363,2.744026569457053,2.733299791299843,0.4670194305965548,-44.6711817150116,0.49133787740176427,-4.199484840335932,0.8155046625265653,1.0742237062270357,1.1836627202847465,641.6468559883273,1256.1393737792957,-614.4925177909687,1.0742237062270357,1.1836627202847467,742.2370622703577,1836.6272028474657,-1094.390140577108,208,25,254,41
pred_Chronos2,1.2854455776018292,1.7755530949370333,1.17494953643918,1.1752096671139696,1.1575264131761227,0.5387000812500256,-13.030093732452404,0.552930863110657,-3.4633841159066234,0.9430167917780885,1.1530336814570972,1.1836627202847465,1136.9390289779246,1256.1393737792957,-119.20034480137147,1.1530336814570972,1.1836627202847467,1530.336814570973,1836.6272028474657,-306.29038827649276,99,134,107,188
pred_KNeighborsRegressor,13.45232411381968,16.125605931978107,11.267357798112945,12.036435084471778,11.66327347883292,0.4459285571383659,-59.85469206504822,0.4142817629638665,-4.780873496083533,-2.0689203589238057,1.0217690516003752,1.1836627202847465,-36.21148459722008,1256.1393737792957,-1292.3508583765158,1.021769051600375,1.1836627202847467,217.69051600375133,1836.6272028474657,-1618.9366868437144,162,71,219,76
pred_HistGradientBoostingRegressor,11.073867076611663,13.361160501417553,9.014136833892461,9.841427573588055,9.498627899164457,0.4365801496796952,-63.273228979110726,0.3977943923479522,-5.074379672338308,-1.5877028296491935,1.0018136079872308,1.1836627202847465,-268.33660369891675,1256.1393737792957,-1524.4759774782128,1.0018136079872306,1.1836627202847467,18.136079872307665,1836.6272028474657,-1818.4911229751583,148,85,210,85
pred_RandomForestRegressor,9.968609081227024,12.235407270575404,8.192388174638129,8.955474307669549,8.6920219572734,0.4456502655936764,-64.82004462928774,0.3651647315344719,-5.614194817114951,-1.2350514030699442,1.0084267777128262,1.1836627202847465,-265.6051874548364,1256.1393737792957,-1521.744561234132,1.0084267777128262,1.1836627202847467,84.26777712826224,1836.6272028474657,-1752.3594257192035,162,71,219,76
pred_LinearRegression,18.63633912261476,21.802930267847607,16.614482504633763,17.976380078174557,16.96469425836716,0.44236694797956905,-72.17562798233033,0.3368877772822317,-5.795929314843128,-7.751743844535531,0.9789427589989614,1.1836627202847465,-559.5143197137722,1256.1393737792957,-1815.6536934930682,0.9789427589989617,1.1836627202847467,-210.57241001038437,1836.6272028474657,-2047.1996128578503,150,83,209,86
pred_Ridge,12.417542166347932,14.452892285919415,10.24521682323488,10.642879935966263,10.406463070978072,0.44970378445470616,-68.39286244544985,0.3761457346159941,-5.246928328929945,-2.395640658538793,1.0005646831489918,1.1836627202847465,-381.3084896123547,1256.1393737792957,-1637.4478633916508,1.0005646831489916,1.1836627202847467,5.646831489915735,1836.6272028474657,-1830.98037135755,146,87,201,94
pred_Lasso,1.879506104398508,2.338128324244266,1.6462102968797154,1.6596744850919045,1.6619381095215893,0.45732413860682747,-51.66038926162721,0.36261568690732304,-5.6081673463759305,0.9040110986781313,1.025150264019724,1.1836627202847465,-79.16847323645871,1256.1393737792957,-1335.3078470157548,1.025150264019724,1.1836627202847467,251.502640197242,1836.6272028474657,-1585.1245626502237,166,67,217,78
