Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,ES_RENTABLE,R2,CM_TN,CM_FP,CM_FN,CM_TP,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2
pred_TemporalFusionTransformer,0.23374385677818343,0.28562553915675337,2.9505493461562877,3.0157367135309965,2.9633303927095778,0.45794392523364486,-5.277486542224882,0.40007126858207404,-5.129002114960978,False,0.8570351107659621,47,1,56,2,1.0198126463274146,1.2872434498490644,13.541534767688631,196.3249683380127,-182.78343357032406,1.0198126463274149,1.2872434498490644,198.12646327414768,2872.434498490644,-2674.308035216496
pred_PatchTST,0.13878326385026907,0.1728801764410166,1.7611947304911415,1.7823215002396346,1.7594501495592674,0.4485981308411215,-5.602090220689773,0.37767990276776714,-5.435657555747647,False,0.9476247978813156,48,0,58,0,1.0000000000000002,1.2872434498490644,1.1368683772161603e-13,196.3249683380127,-196.32496833801258,1.0,1.2872434498490644,0.0,2872.434498490644,-2872.434498490644
pred_DeepAR,0.3547946881031914,0.38696510649691696,4.437192406920444,4.5552242675544,4.497974393508137,0.4485981308411215,-5.6234091646671285,0.37678757175889915,-5.438473461583869,False,0.7375908776659007,48,0,58,0,1.0000000000000002,1.2872434498490644,1.1368683772161603e-13,196.3249683380127,-196.32496833801258,1.0,1.2872434498490644,0.0,2872.434498490644,-2872.434498490644
pred_Chronos2,0.10510195460998824,0.13058091304926023,1.3480129360118664,1.3515482550782454,1.3324492062459634,0.4766355140186916,-1.332483190059661,0.5837573848309329,-3.209783752809816,False,0.970119028064498,23,25,30,28,1.2251149389264282,1.2872434498490644,153.86141365579556,196.3249683380127,-42.463554682217136,1.2251149389264273,1.2872434498490644,2251.149389264272,2872.434498490644,-621.2851092263718
pred_KNeighborsRegressor,1.1578633093176456,1.3824943725735248,13.909537928138624,15.355984356820379,14.67902336513734,0.4485981308411215,-5.6234091646671285,0.37678757175889915,-5.438473461583869,False,-2.34936179442859,48,0,58,0,1.0000000000000002,1.2872434498490644,1.1368683772161603e-13,196.3249683380127,-196.32496833801258,1.0,1.2872434498490644,0.0,2872.434498490644,-2872.434498490644
pred_HistGradientBoostingRegressor,1.0084941102471363,1.2528481002948884,12.01436194261833,13.178550255986684,12.785368090336377,0.4672897196261682,-4.836675567865371,0.43615709690958365,-4.665999956684932,False,-1.7506298730376924,48,0,56,2,1.0567987210100747,1.2872434498490644,38.82075330108296,196.3249683380127,-157.50421503692974,1.0567987210100744,1.2872434498490644,567.987210100744,2872.434498490644,-2304.4472883898998
pred_RandomForestRegressor,0.8962480711093492,1.1449043418119054,10.626933003199705,11.580619039178298,11.362348448994862,0.5046728971962616,-4.378246584415433,0.459188777880631,-4.33734532714455,False,-1.2970673156729715,45,3,49,9,1.1100638700603302,1.2872434498490644,75.2263831119833,196.3249683380127,-121.0985852260294,1.1100638700603296,1.2872434498490644,1100.6387006032965,2872.434498490644,-1771.7957978873474
pred_LinearRegression,0.5098016614961239,0.7722675501642596,6.0139050534820235,6.392429062727138,6.4631035809378625,0.5514018691588785,-1.1052674727439884,0.8154863225519849,-1.1821213870191427,False,-0.045131388188021315,32,16,31,27,1.307005679474633,1.2872434498490644,209.83204433075332,196.3249683380127,13.507075992740624,1.3070056794746336,1.2872434498490644,3070.056794746337,2872.434498490644,197.62229625569307
pred_Ridge,0.871849591285684,0.9752487862149535,10.680026992483956,11.401034561390812,11.053032269335903,0.4485981308411215,-5.6234091646671285,0.37678757175889915,-5.438473461583869,False,-0.6667334622664991,48,0,58,0,1.0000000000000002,1.2872434498490644,1.1368683772161603e-13,196.3249683380127,-196.32496833801258,1.0,1.2872434498490644,0.0,2872.434498490644,-2872.434498490644
pred_Lasso,0.12028415759282401,0.1512800651719099,1.5290895926374175,1.542619672831073,1.5249243546731472,0.45794392523364486,-5.035474802494048,0.40095359996429236,-5.110022701178815,False,0.9598949812630218,48,0,57,1,1.0089904102158846,1.2872434498490644,6.144759791413094,196.3249683380127,-190.1802085465996,1.008990410215885,1.2872434498490644,89.90410215885095,2872.434498490644,-2782.530396331793
