Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,R2,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2,CM_TN,CM_FP,CM_FN,CM_TP
pred_TemporalFusionTransformer,1.323455100146002,1.6974066564572934,2.341685786137383,2.34235047677898,2.3251049730821016,0.5056757520617591,-22.201872067260744,0.503804824905629,-3.9524688465532214,0.22195926818674555,1.0221901661419555,1.0375262099247737,144.67367279161317,218.48556518554688,-73.8118923939337,1.0221901661419555,1.0375262099247735,221.9016614195538,375.2620992477365,-153.36043782818268,122,132,130,151
pred_PatchTST,1.254940762926918,1.4419531340268734,2.134084247893042,2.163048884913761,2.1327950111272918,0.5073394495412844,-22.59707034111023,0.47348162692420265,-4.164322302935606,0.46280530934943015,1.016662952916348,1.0375262099247737,92.26480093745195,218.48556518554688,-126.22076424809492,1.0166629529163478,1.0375262099247735,166.62952916347786,375.2620992477365,-208.63257008425862,113,141,120,161
pred_DeepAR,1.491237001501759,1.7995191084489857,2.50830617609691,2.5359847875262473,2.519956520767098,0.5312417235893185,-19.861508914184583,0.5548340473656594,-3.436740733760152,0.3021003056835331,1.0787139060942985,1.0375262099247737,430.7195791039874,218.48556518554688,212.23401391844055,1.078713906094299,1.0375262099247735,787.1390609429887,375.2620992477365,411.87696169525225,184,70,178,103
pred_Chronos2,0.6864354857784349,0.9077340748062401,1.191874917852357,1.1909420625309852,1.1783704685834835,0.4997759613338795,-13.440969902801523,0.3768461871497133,-5.188742290648216,0.8354982852889913,1.0377934373623403,1.0375262099247737,198.0882458828059,218.48556518554688,-20.397319302740925,1.0377934373623403,1.0375262099247735,377.9343736234026,375.2620992477365,2.6722743756661655,110,144,121,160
pred_KNeighborsRegressor,3.3785229164043686,3.9634728280932228,5.673487412514264,5.5668792634963316,5.664876255824723,0.546299154337395,-16.009928248977662,0.6272572646673826,-2.754061743267841,-1.3379112658297845,1.1095927841953785,1.0375262099247737,622.7392559413004,218.48556518554688,404.25369075575344,1.1095927841953785,1.0375262099247735,1095.9278419537834,375.2620992477365,720.6657427060469,104,150,90,191
pred_HistGradientBoostingRegressor,2.6457318100543343,3.2447085532940796,4.593613911919106,4.505112055184,4.554581740155527,0.5353082397324873,-20.34104904327392,0.5434562910045213,-3.4817344476368097,-0.6627876495396906,1.0440889067080132,1.0375262099247737,263.06976940351325,218.48556518554688,44.58420421796636,1.0440889067080128,1.0375262099247735,440.88906708012945,375.2620992477365,65.62696783239298,103,151,95,186
pred_RandomForestRegressor,2.4253588416936958,2.9754524954246966,4.1822872673771565,4.135222410873676,4.153149725089576,0.5537418109183521,-18.290777404403688,0.5806163266646521,-3.2449780468694827,-0.40011542905610326,1.1054025025922527,1.0375262099247737,594.2966175513791,218.48556518554688,375.81105236583227,1.1054025025922527,1.0375262099247735,1054.0250259225268,375.2620992477365,678.7629266747903,120,134,102,179
pred_LinearRegression,3.6761468409998,4.4645635004533695,6.699448105966316,6.78316524444389,6.668040602325496,0.5334554352002693,-16.180518470382694,0.6235923458520919,-2.8211073983302977,-5.299845826826105,1.1172738967475404,1.0375262099247737,691.6522607071986,218.48556518554688,473.1666955216516,1.1172738967475404,1.0375262099247735,1172.7389674754043,375.2620992477365,797.4768682276678,178,76,171,110
pred_Ridge,4.906910648995551,5.465459202005483,8.414657340605329,8.12382011369619,8.421783234128121,0.5168394193730728,-24.89684853935242,0.49316303439182346,-3.9962902543339114,-4.540783438244757,1.035427394744926,1.0375262099247737,208.7776458595131,218.48556518554688,-9.707919326033789,1.0354273947449257,1.0375262099247735,354.27394744925806,375.2620992477365,-20.98815179847843,99,155,101,180
pred_Lasso,0.890449741916562,1.1006305591149763,1.5384631891856753,1.5289330658020543,1.5243513407433962,0.5280707269903875,-12.676215433502202,0.6338859971540195,-3.3613550012058857,0.7842808806790705,1.1171342268537334,1.0375262099247737,701.5521939255159,218.48556518554688,483.066628739969,1.1171342268537334,1.0375262099247735,1171.3422685373348,375.2620992477365,796.0801692895984,145,109,141,140
