Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,ES_RENTABLE,R2,CM_TN,CM_FP,CM_FN,CM_TP,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2
pred_TemporalFusionTransformer,0.39303317592704695,0.5107724157116683,1.578457994373719,1.578765577259977,1.586704164531725,0.5596330275229358,0.277725311279282,1.017077699976523,0.08744093418384552,True,0.8863180692246064,42,8,39,19,1.160803811513729,0.9148085549955292,420.2262296461149,-222.62954711914062,642.8557767652555,1.160803811513729,0.9148085549955293,1608.0381151372894,-851.9144500447073,2459.9525651819968
pred_PatchTST,0.38930248072901347,0.5056069468907921,1.5671228723548245,1.5665932584088893,1.5716430705328384,0.47706422018348627,-4.303215264320367,0.7198944248817392,-1.7570117042454012,False,0.8886057854555729,38,12,44,14,1.0445704733544203,0.9148085549955292,116.47536084473722,-222.62954711914062,339.10490796387785,1.04457047335442,0.9148085549955293,445.7047335442021,-851.9144500447073,1297.6191835889094
pred_DeepAR,0.5380706736380986,0.7015245374221257,2.189838338745681,2.163482199386839,2.1722313304982497,0.5321100917431193,-6.8632924146652305,0.6948984003736699,-1.9006898403106935,False,0.7855518505415179,17,33,17,41,0.9610762045907038,0.9148085549955292,-101.71898062857053,-222.62954711914062,120.91056649057009,0.9610762045907031,0.9148085549955293,-389.2379540929687,-851.9144500447073,462.6764959517386
pred_Chronos2,0.37958904586695147,0.5195298376104197,1.5331434310637069,1.5242600857774535,1.532429211521603,0.5045871559633027,-4.137742109298699,0.6606645423845252,-2.219303360654831,False,0.8823863952904227,12,38,15,43,0.9262463771109201,0.9148085549955292,-192.73925523073422,-222.62954711914062,29.89029188840641,0.9262463771109196,0.9148085549955293,-737.5362288908036,-851.9144500447073,114.37822115390372
pred_KNeighborsRegressor,2.5058859577885397,2.8070131405810246,10.438639272817735,9.795328253194974,10.116447996244148,0.5504587155963303,-9.982699954986575,0.6103375280410633,-2.5629339603608967,False,-2.433408375427201,5,45,3,55,0.9537338656924181,0.9148085549955292,-120.9066066118462,-222.62954711914062,101.72294050729442,0.9537338656924187,0.9148085549955293,-462.6613430758134,-851.9144500447073,389.2531069688939
pred_HistGradientBoostingRegressor,0.40271900637140917,0.5527151530691309,1.6386150569521494,1.6231062742271158,1.6258065824555248,0.5504587155963303,-5.139449785232529,0.7355003672254218,-1.7727406218530983,False,0.8668812247581674,16,34,14,44,1.1015586169366898,0.9148085549955292,265.40163620273097,-222.62954711914062,488.0311833218716,1.1015586169366889,0.9148085549955293,1015.5861693668885,-851.9144500447073,1867.5006194115958
pred_RandomForestRegressor,0.38996129813415586,0.5251422740226197,1.5810361471877896,1.5704273705572844,1.57430276539941,0.5504587155963303,-2.3989338874816886,0.8823010399407519,-0.6780298295563122,False,0.8798315300046842,22,28,20,38,1.1087056661343306,0.9148085549955292,284.07891449077397,-222.62954711914062,506.7084616099146,1.1087056661343309,0.9148085549955293,1087.0566613433075,-851.9144500447073,1938.9711113880148
pred_LinearRegression,1.5016145797490512,1.9674748225849619,5.878733485734463,6.151113266990854,6.062129746654331,0.48623853211009177,-5.620933714866646,0.7707518075328388,-1.4157106637328876,False,-0.6867663858649018,38,12,43,15,1.1019986347258808,0.9148085549955292,266.5515282033516,-222.62954711914062,489.18107532249223,1.1019986347258803,0.9148085549955293,1019.986347258804,-851.9144500447073,1871.9007973035114
pred_Ridge,2.3733629464125414,2.747513742709306,9.884334779411313,9.285466161186278,9.581442742424017,0.5229357798165137,-7.778459170341495,0.6762847373398364,-2.1658975507162066,False,-2.2893971935586497,10,40,11,47,0.9678443301641119,0.9148085549955292,-84.03193786067004,-222.62954711914062,138.59760925847058,0.9678443301641115,0.9148085549955293,-321.5566983588851,-851.9144500447073,530.3577516858222
pred_Lasso,0.38713954629783537,0.5289789097369129,1.5698228092077895,1.5568307905882968,1.5629111433578247,0.5137614678899083,-6.554529923439033,0.6597000842359588,-2.2838469304536435,False,0.878069238786501,10,40,12,46,0.9345520788487383,0.9148085549955292,-171.03408734327695,-222.62954711914062,51.595459775863674,0.9345520788487384,0.9148085549955293,-654.4792115126165,-851.9144500447073,197.4352385320908
