Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,R2,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2,CM_TN,CM_FP,CM_FN,CM_TP
pred_TemporalFusionTransformer,0.6889856085126944,0.9123422164144696,3.1499071428761276,3.1571469221631996,3.1181184338864636,0.5094260649306521,-6.04681618289948,0.7854613287668298,-1.5455538770260986,0.6310083694207146,1.1194739659149455,1.1911508664650066,230.72174606947283,267.1060752868651,-36.38432921739229,1.119473965914946,1.1911508664650063,1194.7396591494594,1911.5086646500663,-716.7690055006067,184,74,188,93
pred_PatchTST,0.5101715563565106,0.6294245315375642,2.2677853517549083,2.291748694370284,2.2864870957069305,0.5236697247706422,-6.892060538959496,0.7437941213024432,-1.8018783298248366,0.8484304034729719,1.1439661324542485,1.1911508664650066,222.73343448361533,267.1060752868651,-44.37264080324981,1.143966132454248,1.1911508664650063,1439.6613245424815,1911.5086646500663,-471.8473401075847,203,55,199,82
pred_DeepAR,1.086585058198717,1.2381805219031277,5.1040714663172935,5.32107416545501,5.154380376784145,0.4964470391993328,-12.702006736660001,0.5523307315761918,-3.212009260124644,0.5696123746255325,0.9999245072755167,1.1911508664650066,-44.3736412610388,267.1060752868651,-311.47971654790393,0.9999245072755162,1.1911508664650063,-0.7549272448370175,1911.5086646500663,-1912.2635918949031,177,81,188,93
pred_Chronos2,0.3890827659320822,0.5107439630155671,1.8234582537090318,1.824448808768885,1.8111367582904738,0.494580051277299,-3.846118153476722,0.7296884893225679,-1.7689459479878216,0.9025127709399566,1.124501085821143,1.1911508664650066,188.42623453665678,267.1060752868651,-78.67984075020836,1.124501085821143,1.1911508664650063,1245.0108582114317,1911.5086646500663,-666.4978064386345,101,157,113,168
pred_KNeighborsRegressor,3.106592674906392,3.67457740622269,14.769469235442397,15.42143101614307,15.078393288373473,0.503905106106941,-10.421399688434601,0.6149141251617555,-2.6755079731102476,-3.604849003906934,1.0413681160564372,1.1911508664650066,77.55034787043151,267.1060752868651,-189.55572741643363,1.0413681160564379,1.1911508664650063,413.68116056437793,1911.5086646500663,-1497.8275040856884,114,144,121,160
pred_HistGradientBoostingRegressor,1.8095838699354032,2.2250966932781773,8.464167019063321,9.054729105614028,8.818186688701143,0.5130967163994686,-9.482741779613495,0.6375447957968452,-2.5323463235208106,-0.5508524085038223,1.0813237084407326,1.1911508664650066,180.7865594376843,267.1060752868651,-86.31951584918083,1.0813237084407321,1.1911508664650063,813.2370844073215,1911.5086646500663,-1098.2715802427447,133,125,135,146
pred_RandomForestRegressor,1.7880849227642095,2.186888461593225,8.367827045537375,8.937944054921477,8.74686099619077,0.5112115034133382,-9.476686888694763,0.6502769809999019,-2.470327801862269,-0.5235187436225369,1.0649635612055104,1.1911508664650066,155.4700689248178,267.1060752868651,-111.63600636204731,1.0649635612055104,1.1911508664650063,649.6356120551042,1911.5086646500663,-1261.873052594962,142,116,145,136
pred_LinearRegression,3.277925625528858,3.963912913412881,14.699508445371572,16.892972481176624,15.279216409499133,0.49289562289562294,-10.37908579072952,0.6270011995261339,-2.5942387639044653,-3.9618328070232507,1.0683800681216924,1.1911508664650066,135.81415176001755,267.1060752868651,-131.29192352684757,1.0683800681216924,1.1911508664650063,683.8006812169257,1911.5086646500663,-1227.7079834331405,174,84,187,94
pred_Ridge,2.4523221429819677,2.8147862284125313,11.55433687051252,12.290231197886797,11.802312300137439,0.49836654001791614,-11.605379220294953,0.5804921495735754,-2.9639028348586534,-1.2877317505008228,1.009089843491592,1.1911508664650066,7.185702947475514,267.1060752868651,-259.92037233938964,1.009089843491592,1.1911508664650063,90.89843491592003,1911.5086646500663,-1820.6102297341463,145,113,155,126
pred_Lasso,0.41936558447900485,0.5542951568459885,1.9850980602626964,1.9870234846811723,1.9793417791874717,0.4947138047138047,-9.951149420833591,0.5414483237446124,-3.2797443598288702,0.8816483189723276,1.0054588109687947,1.1911508664650066,2.467794612816533,267.1060752868651,-264.6382806740486,1.0054588109687947,1.1911508664650063,54.588109687949306,1911.5086646500663,-1856.920554962117,150,108,162,119
