Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,ES_RENTABLE,R2,CM_TN,CM_FP,CM_FN,CM_TP,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2
pred_TemporalFusionTransformer,0.10185572441557487,0.12406408975278439,2.9668588083828777,2.9380055693652602,2.9297081287785725,0.46296296296296297,-1.9585696642398847,0.43974965395274207,-4.46501737176442,False,0.4506483795568835,15,37,20,35,0.9504619120191022,1.0636988604470476,-17.52726344535739,22.537541389465332,-40.06480483482272,0.9504619120191015,1.0636988604470476,-495.3808798089849,636.9886044704763,-1132.3694842794612
pred_PatchTST,0.06671162146673536,0.09103315199594535,1.9828019643977794,1.9547301946591187,1.918847279487886,0.5277777777777778,-0.41161669361591163,0.7669879868084213,-1.493051075974827,False,0.7042277783390136,16,36,14,41,1.1215464914730517,1.0636988604470476,43.00483655583457,22.537541389465332,20.46729516636924,1.121546491473052,1.0636988604470476,1215.464914730519,636.9886044704763,578.4763102600427
pred_DeepAR,0.09100936144632803,0.12141753979705079,2.704648264107584,2.65196683072923,2.6177307908232166,0.5648148148148148,-0.6628753083944308,0.7499716630486555,-1.5876135937382014,False,0.4738360605284172,22,30,16,39,1.1840507435950367,1.0636988604470476,65.11970893079405,22.537541389465332,42.582167541328715,1.1840507435950363,1.0636988604470476,1840.5074359503633,636.9886044704763,1203.518831479887
pred_Chronos2,0.0447054334722679,0.05833113577487037,1.2906589431959377,1.2880035713822653,1.2858763962042528,0.5185185185185185,-0.764348573565483,0.45925744486734826,-4.032015363464004,False,0.8785607466574361,21,31,20,35,1.079807584727045,1.0636988604470476,28.23703173582288,22.537541389465332,5.69949034635755,1.0798075847270459,1.0636988604470476,798.0758472704583,636.9886044704763,161.08724279998205
pred_KNeighborsRegressor,0.1205510215224508,0.14600927046844125,3.5298799022911083,3.49559863961007,3.4674468196397186,0.5648148148148148,-0.19970580899715185,0.919874018113173,-0.46603052772062514,False,0.23911489070193392,33,19,27,28,1.2612438155662555,1.0636988604470476,92.43168974680185,22.537541389465332,69.89414835733652,1.2612438155662566,1.0636988604470476,2612.4381556625667,636.9886044704763,1975.4495511920904
pred_HistGradientBoostingRegressor,0.270129224660713,0.2919739435394236,7.901620319062132,7.545873634077443,7.7698115628750095,0.5185185185185185,-1.3357974036931992,0.5882143961010351,-2.8909394477289756,False,-2.0426108823948073,2,50,1,54,1.0710706933590666,1.0636988604470476,25.145798243745503,22.537541389465332,2.608256854280171,1.0710706933590672,1.0636988604470476,710.7069335906726,636.9886044704763,73.71832912019636
pred_RandomForestRegressor,0.33838204944906153,0.36105399193132554,9.910032913526003,9.367882373579295,9.73298895660378,0.5092592592592593,-1.372796152472496,0.5805906372597177,-2.970370693854381,False,-3.6526729417083157,1,51,1,54,1.0655559685236415,1.0636988604470476,23.194612015960104,22.537541389465332,0.6570706264947717,1.0655559685236415,1.0636988604470476,655.559685236416,636.9886044704763,18.57108076593977
pred_LinearRegression,0.2688557329103133,0.2964116229889183,7.759548888537568,7.793869877169783,7.7331817204730635,0.5,-1.6354196819066993,0.5165662209241856,-3.571085690707662,False,-2.135802352286269,30,22,31,24,1.0249079435884907,1.0636988604470476,8.812776329314943,22.537541389465332,-13.72476506015039,1.0249079435884914,1.0636988604470476,249.07943588491253,636.9886044704763,-387.90916858556375
pred_Ridge,0.10734867211599622,0.13573925736111134,3.1899733706968982,3.119238832379644,3.0877035052899706,0.5370370370370371,-0.9843377311229701,0.6439883179754436,-2.4011072656173473,False,0.3423888616517684,19,33,16,39,1.1395492922605943,1.0636988604470476,49.374477472924866,22.537541389465332,26.836936083459534,1.1395492922605939,1.0636988604470476,1395.4929226059394,636.9886044704763,758.5043181354631
pred_Lasso,0.0428006660709708,0.05611173609242885,1.2353294204012173,1.2336251352608376,1.2310889743776279,0.5740740740740741,-0.23676742470264303,0.7393105297483363,-1.7171884472770294,False,0.887626053110885,23,29,16,39,1.1786303618375564,1.0636988604470476,63.201902594094065,22.537541389465332,40.66436120462873,1.1786303618375575,1.0636988604470476,1786.3036183755758,636.9886044704763,1149.3150139050995
