Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,R2,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2,CM_TN,CM_FP,CM_FN,CM_TP
pred_TemporalFusionTransformer,0.17338021571174603,0.23675971200105903,2.719357179889251,2.7148879883575203,2.7078763150062697,0.5079708398974454,-2.5884321349143997,0.5769837631797288,-2.964061938350633,0.6881440459704675,1.0949694676373936,1.1892739947842814,54.084124925484176,112.76632308959965,-58.68219816411547,1.0949694676373933,1.1892739947842814,949.6946763739331,1892.739947842815,-943.0452714688818,159,86,176,117
pred_PatchTST,0.18671084277503927,0.21646452539830757,2.7857973520873367,2.8276432657878616,2.7747343494232797,0.44758533345689305,-3.430808492279053,0.5041959514285378,-3.85428425527152,0.7426465694890925,0.9977170066054597,1.1892739947842814,-0.022422875326174107,112.76632308959965,-112.78874596492582,0.9977170066054597,1.1892739947842814,-22.829933945401716,1892.739947842815,-1915.5698817882167,186,59,236,57
pred_DeepAR,0.17946638994862285,0.24018230557864678,2.8398160885270842,2.8265890044196125,2.8185425687235006,0.5303110616872084,-2.2330023578643785,0.6096510633086527,-2.6257192986924105,0.6207849338977518,1.1173550194549944,1.1892739947842814,71.70948598788932,112.76632308959965,-41.056837101710336,1.117355019454994,1.1892739947842814,1173.55019454994,1892.739947842815,-719.1897532928749,142,103,147,146
pred_Chronos2,0.08858751973624271,0.12116160273744839,1.493521193807142,1.4921475961461983,1.4771803519761786,0.5305961758255335,-1.610837978863718,0.5735998143517298,-3.282537864558337,0.8924015624822893,1.195358316408352,1.1892739947842814,132.1715642927828,112.76632308959965,19.40524120318314,1.1953583164083523,1.1892739947842814,1953.5831640835233,1892.739947842815,60.84321624070835,105,140,110,183
pred_KNeighborsRegressor,0.4452289788331811,0.5815290535680013,7.236216101329125,7.621794031723749,7.476731751245746,0.5136440861211503,-2.636662349271775,0.6514464956516502,-2.420751352939158,-0.9206764881898133,1.1402000644102703,1.1892739947842814,66.04839057192478,112.76632308959965,-46.71793251767487,1.1402000644102706,1.1892739947842814,1402.0006441027053,1892.739947842815,-490.7393037401096,190,55,204,89
pred_HistGradientBoostingRegressor,0.40717424778784705,0.5188198083021522,5.504421600460926,5.612912783740777,5.630392689633263,0.4841157754919222,-2.824435175514222,0.5871394109485237,-2.8697624242349673,-0.3952716669228834,1.103916170871883,1.1892739947842814,52.34366136446111,112.76632308959965,-60.422661725138525,1.1039161708718828,1.1892739947842814,1039.1617087188283,1892.739947842815,-853.5782391239867,173,72,203,90
pred_RandomForestRegressor,0.42972643346238837,0.5414090911308269,5.836990573619002,5.909463996439634,5.920398334576084,0.49509189756896177,-2.838165187811852,0.6438806374804298,-2.5875124667590086,-0.6861128412867069,1.1263903872043683,1.1892739947842814,44.76679619265474,112.76632308959965,-67.99952689694491,1.1263903872043681,1.1892739947842814,1263.903872043682,1892.739947842815,-628.8360757991329,150,95,174,119
pred_LinearRegression,1.1138005905353467,1.3499064400656233,15.561428594983909,18.431800512328905,16.05687044838829,0.4713047910295617,-3.1488691175937666,0.5371231241764975,-3.4833109698677847,-8.633493678393139,1.0478638756354162,1.1892739947842814,23.895574135631833,112.76632308959965,-88.87074895396782,1.047863875635416,1.1892739947842814,478.6387563541604,1892.739947842815,-1414.1011914886544,201,44,238,55
pred_Ridge,0.43960184011468606,0.5549922254493324,5.726106612689891,5.984310179404845,5.869779147762765,0.4969777283538751,-3.107946027135849,0.6052067859790988,-2.855741258718949,-0.09654480562284232,1.1347412735426567,1.1892739947842814,47.8510328570858,112.76632308959965,-64.91529023251385,1.1347412735426565,1.1892739947842814,1347.4127354265663,1892.739947842815,-545.3272124162486,176,69,199,94
pred_Lasso,0.10552108186127987,0.1394291685660008,1.6309486513001368,1.6390145650115255,1.6301052702544319,0.4970781206561023,-2.824086495471,0.5876743577560417,-3.070618981219245,0.884598182484795,1.0660978629118918,1.1892739947842814,19.939722786229584,112.76632308959965,-92.82660030337007,1.066097862911892,1.1892739947842814,660.97862911892,1892.739947842815,-1231.7613187238949,175,70,198,95
