Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,R2,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2,CM_TN,CM_FP,CM_FN,CM_TP
pred_TemporalFusionTransformer,0.1704364644153606,0.21328146371529214,3.0598140408163816,3.1057597594098922,3.06893300495767,0.49619419172950013,-2.8822978949069986,0.48612591022875645,-3.9137379974592337,0.7710078186496169,1.0615796927763417,1.1657062498698405,7.385893381408403,76.5513467788696,-69.16545339746119,1.061579692776342,1.1657062498698405,615.7969277634172,1657.062498698404,-1041.2655709349867,150,97,169,117
pred_PatchTST,0.1339192856301183,0.16017985719096478,2.8882095327309547,2.954881811380756,2.9102173602301633,0.48883808825690833,-2.865966948628426,0.4937775633169708,-3.8036673404930994,0.8053504844008537,1.0195092628211526,1.1657062498698405,2.4606934396058477,76.5513467788696,-74.09065333926375,1.019509262821153,1.1657062498698405,195.09262821152805,1657.062498698404,-1461.9698704868758,156,91,179,107
pred_DeepAR,0.17052471723565812,0.21013018390207847,3.526490477719792,3.5838377985644234,3.5342373060068417,0.4946004024145834,-2.3146292640447625,0.5064739155104314,-3.8170022684651483,0.7166799984082133,1.0462177136335067,1.1657062498698405,33.98207394530458,76.5513467788696,-42.569272833565016,1.0462177136335067,1.1657062498698405,462.1771363350657,1657.062498698404,-1194.8853623633381,146,101,166,120
pred_Chronos2,0.06720510502646863,0.09465233323990152,1.3428098246748577,1.3430319979704275,1.3243112195932878,0.5314450669222006,-0.8457424958944305,0.6431841992698597,-2.7136109705544915,0.9218805740847975,1.125507356716466,1.1657062498698405,53.73701110508274,76.5513467788696,-22.814335673786854,1.1255073567164662,1.1657062498698405,1255.0735671646635,1657.062498698404,-401.98893153374047,108,139,108,178
pred_KNeighborsRegressor,0.6000563726301635,0.7013872692200526,11.535606754511043,12.06254593418701,11.779504960550836,0.4980095151797633,-2.6457103493213654,0.5246068118988013,-3.5837131694855033,-1.8824518829853407,1.0476095063221513,1.1657062498698405,21.771188305253435,76.5513467788696,-54.78015847361617,1.0476095063221513,1.1657062498698405,476.0950632215143,1657.062498698404,-1180.9674354768897,153,94,171,115
pred_HistGradientBoostingRegressor,0.4952255754539479,0.5734217802251982,7.399925791151896,7.861161301591092,7.667430241050624,0.48502731286676326,-2.7134578133106233,0.4851713227147906,-4.199667926948271,-0.4162564879834245,1.0553933243947096,1.1657062498698405,26.666010615561923,76.5513467788696,-49.88533616330767,1.0553933243947093,1.1657062498698405,553.933243947093,1657.062498698404,-1103.129254751311,149,98,174,112
pred_RandomForestRegressor,0.4875024372935533,0.5678175286546772,7.314974481972806,7.810792520176287,7.6046810188841985,0.4906700656384789,-2.7508364073276503,0.47564200315806426,-4.093541715083461,-0.35236168869927614,1.0059059798704884,1.1657062498698405,4.3407693468527215,76.5513467788696,-72.21057743201688,1.0059059798704881,1.1657062498698405,59.059798704881544,1657.062498698404,-1598.0026999935224,166,81,188,98
pred_LinearRegression,0.7108431214943508,0.8167694288904386,15.772299801961765,17.453763180420452,15.996441964671831,0.5039474940102469,-2.8695326593399058,0.5029156180366041,-3.9319912205531735,-5.179267099214188,1.0331930077054674,1.1657062498698405,13.25055153234489,76.5513467788696,-63.30079524652471,1.0331930077054672,1.1657062498698405,331.93007705467136,1657.062498698404,-1325.1324216437326,169,78,184,102
pred_Ridge,0.4292610470825454,0.5049463177651186,9.321078099594851,9.535547145099173,9.40356716114903,0.5000870384360991,-2.8070393601179116,0.469275991753017,-4.090842909193389,-1.236929689503579,1.0178640983680458,1.1657062498698405,10.353360883122809,76.5513467788696,-66.19798589574678,1.017864098368046,1.1657062498698405,178.64098368045924,1657.062498698404,-1478.4215150179448,194,53,211,75
pred_Lasso,0.08948945691996994,0.1139103172648855,1.8122042812218968,1.819686298176037,1.8201512376690658,0.4832104016158897,-2.6025967766761786,0.4784811288761264,-4.162598358601873,0.8880233015973923,1.03386796081505,1.1657062498698405,18.906312528163983,76.5513467788696,-57.64503425070561,1.03386796081505,1.1657062498698405,338.6796081505014,1657.062498698404,-1318.3828905479027,149,98,175,111
