Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,R2,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2,CM_TN,CM_FP,CM_FN,CM_TP
pred_TemporalFusionTransformer,0.09450364300780659,0.12536064767097896,2.656751389739331,2.6409439491895865,2.578987894638422,0.47954325327642655,-1.5855635238528243,0.5301035040711607,-3.4916857982187866,0.8299660539716612,1.0140214748807932,1.1586086076984186,7.1817685847944635,46.56463384628297,-39.38286526148852,1.0140214748807928,1.1586086076984186,140.21474880792846,1586.0860769841863,-1445.871328176258,104,149,127,155
pred_PatchTST,0.07973929440876446,0.09539181788355104,2.6458455011566717,2.6710334735083876,2.6491544312048356,0.45179913687158824,-1.9062417971014978,0.5086035466979607,-3.7393294670038792,0.8375049784713348,1.0159230318146535,1.1586086076984186,2.7567331516128726,46.56463384628297,-43.8079006946701,1.015923031814654,1.1586086076984186,159.23031814653913,1586.0860769841863,-1426.8557588376473,105,148,143,139
pred_DeepAR,0.1172003517188879,0.14722786999462906,3.6314347986111946,3.6494770568731134,3.6180950870946766,0.473815580134709,-1.8115392833113675,0.47265828156969925,-4.056917837536778,0.7629639827031972,0.9858434437560334,1.1586086076984186,5.78983061582295,46.56463384628297,-40.77480323046002,0.9858434437560334,1.1586086076984186,-141.56556243966662,1586.0860769841863,-1727.6516394238529,147,106,173,109
pred_Chronos2,0.04808680296548844,0.0638241663265858,1.4883464057280755,1.4879645560493975,1.4666272031204595,0.5146425384485918,-0.32039833053350486,0.7567508868895476,-1.68689404534922,0.9377568259269285,1.1605398996034215,1.1586086076984186,43.46562525322857,46.56463384628297,-3.0990085930543954,1.1605398996034213,1.1586086076984186,1605.3989960342128,1586.0860769841863,19.31291905002654,104,149,108,174
pred_KNeighborsRegressor,0.34624792887482075,0.4242671655903826,11.556484926862568,11.877317391258666,11.754356263189404,0.47950959190348713,-1.8676644590854643,0.5113554454792988,-3.7136322348600204,-1.3190734783907634,1.0105358917731884,1.1586086076984186,5.130400598907688,46.56463384628297,-41.43423324737529,1.0105358917731884,1.1586086076984186,105.35891773188416,1586.0860769841863,-1480.7271592523023,143,110,166,116
pred_HistGradientBoostingRegressor,0.32130467158447606,0.3831890379225206,7.879027596600009,7.987550048669597,7.952486319348841,0.49982931143438736,-1.628742017269135,0.5680315416174107,-3.168163063233172,-0.38300651052367296,1.0553293187701849,1.1586086076984186,16.242115339737033,46.56463384628297,-30.32251850654594,1.0553293187701844,1.1586086076984186,553.2931877018466,1586.0860769841863,-1032.7928892823397,152,101,164,118
pred_RandomForestRegressor,0.2815204530268677,0.3432705545860586,7.209194939946649,7.263236281606867,7.2747952642460705,0.4868657133511801,-1.6948121472477902,0.5231758448053409,-3.5502695566174034,-0.14866830777742118,1.0326136505893115,1.1586086076984186,12.280899858016655,46.56463384628297,-34.28373398826632,1.0326136505893118,1.1586086076984186,326.13650589311766,1586.0860769841863,-1259.9495710910687,148,105,167,115
pred_LinearRegression,0.4117144156213855,0.5119949861196748,16.262192001805897,18.711176638530166,16.706387836565604,0.4739546714681756,-1.4294396002173433,0.560187669580276,-3.3859873309285478,-3.505152849892325,1.039221425107913,1.1586086076984186,22.792552335384794,46.56463384628297,-23.772081510898182,1.0392214251079133,1.1586086076984186,392.214251079132,1586.0860769841863,-1193.8718259050543,165,88,191,91
pred_Ridge,0.23175305880853184,0.2870916413455806,8.699023743046258,8.84329674501607,8.691561132614659,0.5518875773655847,-1.1362024003148081,0.6771208516644589,-2.2805258948564435,-0.5489444662174399,1.1580099831395292,1.1586086076984186,47.24328990981148,46.56463384628297,0.6786560635285014,1.1580099831395294,1.1586086076984186,1580.099831395295,1586.0860769841863,-5.986245588891393,130,123,114,168
pred_Lasso,0.05398182951745212,0.07147627358865467,1.7980337460516544,1.7972679197183314,1.7780630439970893,0.5017141895389344,-0.8665424515843391,0.5901469341541459,-3.1142000923447024,0.9231478262521746,1.0868031857908143,1.1586086076984186,53.58938327450336,46.56463384628297,7.0247494282203835,1.0868031857908143,1.1586086076984186,868.0318579081431,1586.0860769841863,-718.0542190760432,139,114,150,132
