Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,R2,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2,CM_TN,CM_FP,CM_FN,CM_TP
pred_TemporalFusionTransformer,0.5033345165276428,0.6419568944850222,1.6762213635379581,1.6831827194011701,1.6804733156876932,0.46748911465892595,-11.257671735382093,0.4463012502476319,-4.537302199370709,0.8730472947848458,1.0372196870997246,1.1849549088400506,80.39602200367284,377.9751205444337,-297.57909854076087,1.0372196870997248,1.1849549088400506,372.19687099724763,1849.5490884005067,-1477.3522174032591,142,105,168,102
pred_PatchTST,0.3899876969461687,0.5112902730444713,1.3637466740133282,1.371778552126284,1.3714978529693045,0.4711175616835995,-8.727614283275608,0.4954117707165258,-4.3627093665110666,0.9110618605613283,1.0618496138963818,1.1849549088400506,178.76770774228078,377.9751205444337,-199.2074128021529,1.0618496138963818,1.1849549088400506,618.4961389638192,1849.5490884005067,-1231.0529494366874,178,69,202,68
pred_DeepAR,0.9756865836828208,1.126474333444865,2.915842120093151,2.944874992692678,2.972020399502745,0.5001088534107402,-14.404522582435613,0.46176283276281593,-4.41882150198452,0.6108211318773507,1.0591028501519715,1.1849549088400506,127.13999296691145,377.9751205444337,-250.8351275775223,1.0591028501519717,1.1849549088400506,591.0285015197165,1849.5490884005067,-1258.5205868807902,164,83,173,97
pred_Chronos2,0.3500705728554293,0.4692114492084379,1.167596381819172,1.1699287858392189,1.1590370973646693,0.46912191582002905,-4.418239142799384,0.43260795121259826,-5.373008290052849,0.932285440346616,1.0884575997850023,1.1849549088400506,139.5858984794636,377.9751205444337,-238.38922206497008,1.0884575997850017,1.1849549088400506,884.575997850017,1849.5490884005067,-964.9730905504897,95,152,120,150
pred_KNeighborsRegressor,2.6069654279922174,3.240650495312811,8.786608625108858,9.500379530287473,9.292625742720295,0.4697387518142235,-13.321210109996798,0.4986234690132324,-4.222805080058878,-1.2680748629052405,1.056054825341398,1.1849549088400506,172.51329898425396,377.9751205444337,-205.46182156017971,1.056054825341398,1.1849549088400506,560.5482534139799,1849.5490884005067,-1289.0008349865268,188,59,213,57
pred_HistGradientBoostingRegressor,1.4055086303532112,1.8361337003828833,4.8785824626945615,5.291235594083787,5.202953480773205,0.4851233671988389,-13.983917722988128,0.45809621931804545,-4.244990760640046,0.2257194335616636,1.0557431197679514,1.1849549088400506,71.47604235755489,377.9751205444337,-306.4990781868788,1.0557431197679512,1.1849549088400506,557.431197679511,1849.5490884005067,-1292.1178907209955,173,74,190,80
pred_RandomForestRegressor,1.3149374192235967,1.7179473037467925,4.6312283411084225,4.99279008315011,4.933466894533177,0.4621190130624092,-15.076009473419186,0.42383219047877835,-4.792415992003932,0.2517582903870027,0.9917584964857842,1.1849549088400506,-117.71485846061542,377.9751205444337,-495.6899790050491,0.9917584964857842,1.1849549088400506,-82.41503514215874,1849.5490884005067,-1931.9641235426654,145,102,174,96
pred_LinearRegression,4.692687827877438,5.535450510542144,14.317646987282512,15.931635738013535,14.953542170660095,0.4712626995645863,-17.318444495201113,0.3861400238000599,-5.083538861713638,-5.785630545966059,1.0138534155383048,1.1849549088400506,-1.7381950674134259,377.9751205444337,-379.7133156118471,1.0138534155383052,1.1849549088400506,138.53415538305052,1849.5490884005067,-1711.014933017456,183,64,207,63
pred_Ridge,3.3981767583354676,4.094460372923278,10.697488879821659,11.38068647411823,11.145373728392892,0.46756168359941946,-17.332257120990754,0.3843452134771498,-5.10082089971642,-3.15251869753095,1.0076971919017625,1.1849549088400506,-42.92013513506563,377.9751205444337,-420.8952556794993,1.0076971919017625,1.1849549088400506,76.97191901762498,1849.5490884005067,-1772.5771693828817,170,77,196,74
pred_Lasso,0.41470431612818776,0.532104173427949,1.366542164212963,1.3733934012650961,1.3789560471633073,0.4562409288824383,-12.082066015434272,0.41602664522619454,-4.810808124292973,0.9182142191634746,1.0220015291163165,1.1849549088400506,26.736794248022534,377.9751205444337,-351.2383262964112,1.0220015291163167,1.1849549088400506,220.0152911631656,1849.5490884005067,-1629.533797237341,157,90,189,81
