Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,ES_RENTABLE,R2,CM_TN,CM_FP,CM_FN,CM_TP,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2
pred_TemporalFusionTransformer,0.09535985075879475,0.1429270425241595,1.4379598151909294,1.4160346738722933,1.3926395140943528,0.5238095238095238,-1.7362721705436717,0.5084592225274669,-3.887765868776793,False,0.6350405995095919,8,40,9,47,1.0418594248797337,1.0430838981773527,28.71047419742115,29.55031394958496,-0.8398397521638117,1.0418594248797344,1.0430838981773527,418.59424879734433,430.83898177352603,-12.244732976181695
pred_PatchTST,0.05694668816022823,0.0736162726925247,0.8380984493085997,0.8392024924491799,0.8316519740508163,0.47619047619047616,-0.8872048556804657,0.24053875694090643,-8.105913713564588,False,0.9031803765498398,34,14,40,16,1.0004882402470034,1.0430838981773527,0.334873425853516,29.55031394958496,-29.215440523731445,1.000488240247003,1.0430838981773527,4.882402470029774,430.83898177352603,-425.95657930349626
pred_DeepAR,0.24495838734207057,0.2696411798747474,3.5551209463477824,3.6320346232892144,3.577383215335362,0.4380952380952381,-3.7429523227214814,0.3108590275245277,-6.681856639822517,False,-0.2989372686054257,45,3,55,1,0.9830817224225459,1.0430838981773527,-11.603880685123158,29.55031394958496,-41.15419463470812,0.9830817224225459,1.0430838981773527,-169.18277577454137,430.83898177352603,-600.0217575480674
pred_Chronos2,0.05445967592455174,0.07190381157306305,0.8020560303653337,0.801517337562631,0.795331536425553,0.5619047619047619,-0.7017461760044107,0.4096481168138596,-4.725434881959976,False,0.9076324200318421,19,29,16,40,1.089394547850296,1.0430838981773527,61.313786962435074,29.55031394958496,31.763473012850113,1.0893945478502958,1.0430838981773527,893.9454785029575,430.83898177352603,463.10649672943146
pred_KNeighborsRegressor,0.17171621781129115,0.2323716593891163,2.564637599955034,2.505209169343438,2.5077513044742417,0.5333333333333333,-1.6801002318859102,0.577105968330042,-3.165028639544374,False,0.03532270123730186,12,36,12,44,1.0995697817575758,1.0430838981773527,68.29275983143691,29.55031394958496,38.74244588185195,1.099569781757576,1.0430838981773527,995.6978175757595,430.83898177352603,564.8588358022334
pred_HistGradientBoostingRegressor,0.08431565227308714,0.10601430698444522,1.2407031917830684,1.2389468126142427,1.231349546772556,0.5333333333333333,-1.9686787717342378,0.5007776671366463,-4.042332871385484,False,0.7992087897676634,32,16,32,24,1.111638329996548,1.0430838981773527,76.57031605230839,29.55031394958496,47.020002102723424,1.1116383299965482,1.0430838981773527,1116.3832999654824,430.83898177352603,685.5443181919563
pred_RandomForestRegressor,0.08060302154722762,0.11175223160748109,1.1940474033810342,1.1860071843616993,1.1771301220468318,0.4666666666666667,-2.1362247843742352,0.4204671951867007,-4.867495240328109,False,0.7768853185466555,13,35,20,36,0.9977562769197833,1.0430838981773527,-1.5389211339095255,29.55031394958496,-31.089235083494486,0.9977562769197837,1.0430838981773527,-22.437230802162958,430.83898177352603,-453.276212575689
pred_LinearRegression,0.5078703119159057,0.6029382305027441,7.565232944288448,7.176690923680244,7.416960689237278,0.5142857142857142,-2.9504672825336455,0.4056353376154971,-5.1837887069671,False,-5.49473422942812,2,46,4,52,1.0336567235951328,1.0430838981773527,23.084418792758697,29.55031394958496,-6.465895156826264,1.033656723595133,1.0430838981773527,336.5672359513301,430.83898177352603,-94.27174582219595
pred_Ridge,0.43745842461188494,0.5103833072930193,6.4973402080610185,6.216216732062468,6.388662346263056,0.5333333333333333,-2.881571771383286,0.4153796581373769,-5.015428001604061,False,-3.653810161815107,0,48,0,56,1.0430838981773527,1.0430838981773527,29.55031394958496,29.55031394958496,0.0,1.0430838981773525,1.0430838981773527,430.8389817735242,430.83898177352603,-1.8189894035458565e-12
pred_Lasso,0.06080446991979661,0.07653328023572949,0.8931517254146158,0.8937776299797849,0.8879911909474184,0.49523809523809526,-1.3334736640453348,0.4613293834633564,-4.540845343153255,False,0.8953555028652038,28,20,32,24,1.0927595226510751,1.0430838981773527,63.62175040126192,29.55031394958496,34.07143645167696,1.092759522651075,1.0430838981773527,927.595226510748,430.83898177352603,496.756244737222
