Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,R2,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2,CM_TN,CM_FP,CM_FN,CM_TP
pred_TemporalFusionTransformer,0.20213648537993043,0.26679927446925633,1.2192605554749836,1.220247832875612,1.2070028626469578,0.4946333927170762,-5.993359915351869,0.3359418539048195,-6.398067716081441,0.8488783023004229,1.0381542901929393,1.1418726841887414,58.24639517059093,200.10782241821295,-141.861427247622,1.0381542901929393,1.1418726841887414,381.5429019293937,1418.7268418874141,-1037.1839399580203,132,108,159,134
pred_PatchTST,0.26780749950031557,0.3131143012742905,1.4355671066316147,1.434294862018848,1.4333847054303277,0.5205778959101431,-4.119033372116087,0.4013605884031394,-7.3514611600725335,0.7072510134184924,1.1027760576739767,1.1418726841887414,147.06587764376945,200.10782241821295,-53.04194477444348,1.1027760576739767,1.1418726841887414,1027.7605767397672,1418.7268418874141,-390.9662651476468,109,131,122,171
pred_DeepAR,0.32029568434260336,0.3795543260731405,1.8336489190785543,1.849647266990028,1.8334181998140082,0.4628224426089469,-6.900562005233762,0.39922575196258103,-5.754241851976122,0.6517578956265199,1.0460617435203718,1.1418726841887414,80.05980772353496,200.10782241821295,-120.04801469467797,1.0460617435203718,1.1418726841887414,460.61743520371857,1418.7268418874141,-958.1094066836955,175,65,219,74
pred_Chronos2,0.1511609618053987,0.19950738280950153,0.8889661042621324,0.888735687731274,0.881072482475658,0.5167027097405216,-1.9907681604385339,0.519599973321657,-4.957864416086739,0.9062334610013293,1.0675350854505707,1.1418726841887414,71.64509424443486,200.10782241821295,-128.4627281737781,1.067535085450571,1.1418726841887414,675.3508545057091,1418.7268418874141,-743.3759873817049,109,131,124,169
pred_KNeighborsRegressor,1.4594358003132548,1.5993483480145438,8.268407700659989,8.788939658577746,8.421194084821384,0.4719977072159186,-7.906600774860387,0.381003709141292,-5.74502677354001,-3.6551817080541382,1.0455953324421603,1.1418726841887414,72.29526707106534,200.10782241821295,-127.8125553471476,1.0455953324421603,1.1418726841887414,455.9533244216029,1418.7268418874141,-962.7735174658112,215,25,254,39
pred_HistGradientBoostingRegressor,1.3140305143382864,1.4600736723911492,6.844743245975397,7.271398556643689,6.9957656292458115,0.457147325667432,-8.69218017578125,0.32933254934828055,-6.458786619943457,-3.432562176983043,1.0195639900963065,1.1418726841887414,25.530134703023805,200.10782241821295,-174.57768771518914,1.0195639900963063,1.1418726841887414,195.63990096306262,1418.7268418874141,-1223.0869409243514,235,5,282,11
pred_RandomForestRegressor,1.1683741862607882,1.322325977187814,6.161498791439628,6.508600769656186,6.308114366072905,0.4683959403113994,-7.541367555618288,0.37193196666319783,-5.901575992346172,-2.579568226956477,1.0326911234230967,1.1418726841887414,60.499720186089554,200.10782241821295,-139.60810223212337,1.0326911234230969,1.1418726841887414,326.9112342309669,1418.7268418874141,-1091.8156076564471,219,21,260,33
pred_LinearRegression,1.1657384866793856,1.4141383345910492,7.937593269948005,8.604296901038506,8.139843747061269,0.4814633805545235,-7.6714656438827475,0.3779882056650686,-5.692118097828459,-5.793417412471404,1.0539643440751991,1.1418726841887414,91.15147402969016,200.10782241821295,-108.95634838852277,1.0539643440751991,1.1418726841887414,539.6434407519922,1418.7268418874141,-879.0834011354218,201,39,235,58
pred_Ridge,0.9880197957434629,1.1449593941220653,6.20607881235847,6.3209513307059355,6.300319753384791,0.48146306299440134,-7.720924953937528,0.3761572860883011,-5.786151652995338,-2.194331818863905,1.0564429758091534,1.1418726841887414,102.02610612642516,200.10782241821295,-98.08171629178779,1.0564429758091534,1.1418726841887414,564.4297580915336,1418.7268418874141,-854.2970837958804,155,85,189,104
pred_Lasso,0.19477770520442475,0.23907206366172415,1.1483529851066858,1.1527744438894283,1.1483518471713798,0.4664924849397112,-7.065103744125366,0.36938874412847206,-5.905053737915458,0.8766188853041939,1.0356761334688152,1.1418726841887414,52.12039512674687,200.10782241821295,-147.98742729146608,1.0356761334688154,1.1418726841887414,356.7613346881528,1418.7268418874141,-1061.9655071992613,189,51,231,62
