Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,R2,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2,CM_TN,CM_FP,CM_FN,CM_TP
pred_TemporalFusionTransformer,0.28857574490137,0.3767464547286594,1.19570036697428,1.1985795763274922,1.1828645606804868,0.5203727700463872,-6.214516055488591,0.48387203545356544,-4.134677779664424,0.8950834976074736,1.064004851859999,1.0919601123062932,182.6049771514421,228.12585830688437,-45.52088115544225,1.0640048518599987,1.0919601123062932,640.0485185999881,919.6011230629334,-279.5526044629452,168,86,167,112
pred_PatchTST,0.28044799921296554,0.354600845079649,1.2127072122604408,1.2188496656544052,1.2065468508959958,0.4628560770192345,-7.436386327266692,0.43740860351249317,-4.794765248939099,0.9017280711166153,1.0248465130558024,1.0919601123062932,69.6595941212062,228.12585830688437,-158.46626418567817,1.0248465130558024,1.0919601123062932,248.46513055802424,919.6011230629334,-671.1359925049092,173,81,203,76
pred_DeepAR,0.47204718852534794,0.575378939846155,1.8980538059340528,1.9127483990994072,1.8979866781221162,0.49072228630345816,-8.975344818401332,0.5004405341027364,-3.977772649892278,0.7434530992704409,1.0607112103870535,1.0919601123062932,113.52643901432506,228.12585830688437,-114.59941929255929,1.0607112103870535,1.0919601123062932,607.1121038705336,919.6011230629334,-312.4890191923998,152,102,167,112
pred_Chronos2,0.23957543556740085,0.3152071432780895,1.0246790872448224,1.02461458863204,1.0125024770180202,0.4907748694663126,-3.2296320144653365,0.44792795154748005,-4.618370767050284,0.9230645806480174,1.0454529403008714,1.0919601123062932,105.28702251144395,228.12585830688437,-122.8388357954404,1.0454529403008717,1.0919601123062932,454.5294030087163,919.6011230629334,-465.07172005421705,107,147,122,157
pred_KNeighborsRegressor,1.6000985354066857,1.8154322518767294,6.354489082366068,6.465732836358401,6.4081765209952435,0.492539877612329,-10.435488491725916,0.4582629013617643,-4.575001030467956,-1.1582928650530095,1.0687582383443561,1.0919601123062932,175.56288136632475,228.12585830688437,-52.56297694055961,1.0687582383443561,1.0919601123062932,687.5823834435603,919.6011230629334,-232.0187396193731,143,111,157,122
pred_HistGradientBoostingRegressor,1.1735927120943486,1.3775049480265067,4.0616682655456415,4.192367760078023,4.16629908135563,0.49416829895565256,-10.060578910255433,0.46954228768376094,-4.463091348502265,-0.1537348717698756,1.0780118850573743,1.0919601123062932,193.47241735507458,228.12585830688437,-34.653440951809756,1.0780118850573743,1.0919601123062932,780.1188505737424,919.6011230629334,-139.48227248919102,199,55,212,67
pred_RandomForestRegressor,1.0987237904006861,1.302240367365241,3.6756606020062628,3.777626431304153,3.7717457584605385,0.4866397333741248,-9.606169197082519,0.45739446289999286,-4.526925493169479,-0.0007704669358653326,1.0568759669215058,1.0919601123062932,144.6439642861871,228.12585830688437,-83.48189402069724,1.0568759669215055,1.0919601123062932,568.7596692150549,919.6011230629334,-350.8414538478784,181,73,198,81
pred_LinearRegression,2.1088828475404084,2.481230906804962,8.035309639605646,8.55610871797974,8.168997999914414,0.5147117485801018,-11.608174115276336,0.43059942498694015,-4.716663572502635,-3.162154782525156,1.0341959260435138,1.0919601123062932,76.48473731007721,228.12585830688437,-151.64112099680716,1.0341959260435138,1.0919601123062932,341.95926043513975,919.6011230629334,-577.6418626277937,207,47,209,70
pred_Ridge,1.2181248921756798,1.411890063701389,4.7854670484850725,4.824819487029656,4.80800512919164,0.5037737616608227,-10.074242850685113,0.4853092951274179,-4.206993144030787,-0.23219048666562073,1.0589046488019052,1.0919601123062932,141.00458693985576,228.12585830688437,-87.12127136702861,1.0589046488019052,1.0919601123062932,589.046488019052,919.6011230629334,-330.5546350438814,149,105,157,122
pred_Lasso,0.32357336935081504,0.3895806042148698,1.2527340277355514,1.2560207975613413,1.2508801027599765,0.4964705319485555,-7.7767699628829945,0.460470831161806,-4.8907429721057865,0.9038587925347976,1.0689806209108483,1.0919601123062932,166.3771242651817,228.12585830688437,-61.74873404170266,1.0689806209108483,1.0919601123062932,689.8062091084845,919.6011230629334,-229.79491395444893,169,85,181,98
