Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,ES_RENTABLE,R2,CM_TN,CM_FP,CM_FN,CM_TP,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2
pred_TemporalFusionTransformer,1.5205956467393615,2.318335438804785,15.167815810793883,12.851961282122035,14.110136398301869,0.48598130841121495,-7.7883025603294325,0.5323608990164826,-3.051633337619503,False,-1.540303973845191,0,51,3,52,0.8378742591032385,0.8933572046924004,-223.1461270940115,-146.7806816101072,-76.3654454839043,0.8378742591032382,0.8933572046924004,-1621.2574089676182,-1066.427953075996,-554.8294558916223
pred_PatchTST,0.5040066186340866,0.6469353134679326,4.884220082466375,4.717047194090505,4.676852883160228,0.48598130841121495,-5.834933918476092,0.620314843137965,-2.3149953088865405,False,0.8021869880311974,7,44,10,45,0.8977434233706683,0.8933572046924004,-140.74359147729388,-146.7806816101072,6.037090132813319,0.8977434233706677,0.8933572046924004,-1022.5657662933227,-1066.427953075996,43.862186782673234
pred_DeepAR,0.7962227920531071,1.0241232976037256,7.559383838561247,7.369194747534053,7.38842849076747,0.3925233644859813,-6.831596301555631,0.5808405228307283,-2.71323978573641,False,0.5042786412358323,28,23,41,14,0.8507940768539186,0.8933572046924004,-205.36358819625207,-146.7806816101072,-58.58290658614487,0.8507940768539188,0.8933572046924004,-1492.0592314608111,-1066.427953075996,-425.63127838481523
pred_Chronos2,0.22958630160602145,0.321825973419345,2.1572277492177974,2.154568084101596,2.130411222594997,0.5420560747663551,-0.06143105792998216,0.9923792779288221,-0.03649607620149266,False,0.9510474496715503,29,22,26,29,1.1300278689067804,0.8933572046924004,178.96735706708182,-146.7806816101072,325.748038677189,1.1300278689067818,0.8933572046924004,1300.278689067818,-1066.427953075996,2366.706642143814
pred_KNeighborsRegressor,2.8862001814932166,3.2056780960444295,29.048258035726604,24.408573874126617,26.782056308657396,0.5233644859813084,-3.6995310988426224,0.7447034232818702,-1.4449527809340443,False,-3.857054303088084,3,48,2,53,0.9909150816611121,0.8933572046924004,-12.504271876105804,-146.7806816101072,134.2764097340014,0.9909150816611116,0.8933572046924004,-90.84918338888383,-1066.427953075996,975.5787696871121
pred_HistGradientBoostingRegressor,0.826703216263703,1.087451922763769,8.602193995945282,7.982148898850842,7.671266958713795,0.48598130841121495,-4.045379432678224,0.7189779606719964,-1.625670426580361,False,0.44107534098942613,9,42,12,43,0.9824222058631084,0.8933572046924004,-24.193670066253844,-146.7806816101072,122.58701154385335,0.9824222058631096,0.8933572046924004,-175.77794136890407,-1066.427953075996,890.6500117070918
pred_RandomForestRegressor,0.9375544324075273,1.0558714261032949,9.272126541199018,8.765657499046805,8.699893985932361,0.48598130841121495,-6.6447530903816325,0.5842972642539193,-2.637131960814428,False,0.47306722307471005,8,43,11,44,0.8713846294947837,0.8933572046924004,-177.02322687472565,-146.7806816101072,-30.242545264618457,0.8713846294947836,0.8933572046924004,-1286.1537050521638,-1066.427953075996,-219.72575197616789
pred_LinearRegression,4.651534438068465,5.001512229319638,45.24578375900208,35.75946363175429,43.16320747286373,0.5233644859813084,-3.610574265956877,0.7500579730859835,-1.4105060917029097,False,-10.823221057785148,2,49,1,54,0.9935467663727566,0.8933572046924004,-8.88208179149774,-146.7806816101072,137.89859981860945,0.9935467663727557,0.8933572046924004,-64.53233627244299,-1066.427953075996,1001.8956168035529
pred_Ridge,3.534243612298447,3.8335971440468923,34.611620308263916,28.64007792956742,32.79547691806983,0.514018691588785,-3.9700605053901667,0.7260347786488295,-1.5620565524981425,False,-5.946180831382185,2,49,2,53,0.9684993423875606,0.8933572046924004,-43.35677794438834,-146.7806816101072,103.42390366571885,0.96849934238756,0.8933572046924004,-315.00657612440045,-1066.427953075996,751.4213769515954
pred_Lasso,0.259023422870028,0.3412230299368721,2.46188072941259,2.433843345379634,2.403568519276171,0.5046728971962616,-1.6049626765251017,0.8435187294937972,-0.8376981312547088,False,0.9449686952658323,13,38,14,41,0.9952780824971122,0.8933572046924004,-6.499138245405447,-146.7806816101072,140.28154336470175,0.9952780824971121,0.8933572046924004,-47.21917502887845,-1066.427953075996,1019.2087780471174
