Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,R2,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2,CM_TN,CM_FP,CM_FN,CM_TP
pred_TemporalFusionTransformer,0.13783001603484993,0.17539826120850524,1.4931803328066182,1.4853610210200783,1.47938184818571,0.48560578568458157,-2.8990757500886892,0.4881837331511645,-4.233489827184072,0.713613198049578,1.0596810433579686,1.1069300532939292,30.501715275415346,79.74886894226074,-49.24715366684539,1.0596810433579686,1.1069300532939295,596.8104335796863,1069.3005329392934,-472.49009935960714,118,123,145,140
pred_PatchTST,0.17197316263680076,0.19466356992206812,1.5316718921858523,1.5236580819344572,1.5346716590469034,0.5076476876245998,-3.323596078324319,0.37928175317387786,-5.596338214654253,0.6830414010577369,1.033509400390941,1.1069300532939292,35.524095651953154,79.74886894226074,-44.22477329030759,1.0335094003909409,1.1069300532939295,335.09400390940937,1069.3005329392934,-734.206529029884,196,45,212,73
pred_DeepAR,0.20920546972144197,0.2593563063991286,2.215018426859745,2.2089279228510863,2.202817129037896,0.46878295212358134,-3.704971468234059,0.37333853524079424,-5.735633201449664,0.3925485405841669,1.0529559682952707,1.1069300532939292,48.18716262550483,79.74886894226074,-31.56170631675591,1.0529559682952707,1.1069300532939295,529.5596829527069,1069.3005329392934,-539.7408499865866,149,92,185,100
pred_Chronos2,0.0769913378763416,0.10260055424025469,0.8450142730813646,0.845183781198511,0.840615644350739,0.4856268982263187,-0.5097786394834521,0.5694966899353677,-4.046157714502103,0.9140437898642325,1.027186644181937,1.1069300532939292,16.33084769769789,79.74886894226074,-63.41802124456285,1.027186644181937,1.1069300532939295,271.8664418193687,1069.3005329392934,-797.4340911199248,100,141,127,158
pred_KNeighborsRegressor,0.6289493044929096,0.7032559212193498,6.7197656754953385,7.064216247592418,6.829188487447082,0.47085531882364656,-4.121608694052695,0.3847037652991177,-5.798207617510913,-2.6692753281036143,1.0433721325271825,1.1069300532939292,34.01250017385841,79.74886894226074,-45.73636876840233,1.043372132527183,1.1069300532939295,433.7213252718273,1069.3005329392934,-635.5792076674661,195,46,230,55
pred_HistGradientBoostingRegressor,0.620013674812658,0.6929831073758261,5.817652235057876,6.127093842566788,5.9500349326529305,0.466784762034781,-4.17387260763645,0.3504374018140993,-6.2042718421823055,-2.647117567207593,1.0388940456503986,1.1069300532939292,26.87585057649543,79.74886894226074,-52.87301836576531,1.0388940456503986,1.1069300532939295,388.94045650398476,1069.3005329392934,-680.3600764353087,200,41,237,48
pred_RandomForestRegressor,0.6287143007100185,0.6972406284280855,5.79031108264796,6.101922959560481,5.915870125171471,0.4780662538951673,-4.210851769137382,0.38110468358639177,-5.7822866047612616,-2.7738665967274625,1.042496487896862,1.1069300532939292,23.95595174973164,79.74886894226074,-55.7929171925291,1.0424964878968628,1.1069300532939295,424.96487896862635,1069.3005329392934,-644.3356539706671,209,32,240,45
pred_LinearRegression,0.49700940599067883,0.5910101700550638,6.811534105986089,7.2204520345513385,6.959851983380162,0.4861129861497674,-3.4089743462085713,0.40594927363561906,-5.485269131559897,-4.2460066536813414,1.0558216394993767,1.1069300532939292,61.34449099797523,79.74886894226074,-18.404377944285514,1.0558216394993767,1.1069300532939295,558.216394993768,1069.3005329392934,-511.0841379455254,204,37,231,54
pred_Ridge,0.32777986059051945,0.38246023791747163,3.8792719504352986,3.9913828093582424,3.950406999956807,0.48042395874858757,-3.9315914625883095,0.3967427477505545,-5.603141369624385,-0.16216582287901177,1.052650017205291,1.1069300532939292,46.049549973754,79.74886894226074,-33.699318968506745,1.0526500172052908,1.1069300532939295,526.5001720529108,1069.3005329392934,-542.8003608863826,189,52,219,66
pred_Lasso,0.10199173981733307,0.12280314025359806,1.1105768092860278,1.1163356690928485,1.1152337152390641,0.46706107529118446,-3.4390673444747932,0.3762772134049452,-5.925576715169887,0.8832491255360552,1.0431263514070737,1.1069300532939292,37.176098467441726,79.74886894226074,-42.572770474819016,1.0431263514070737,1.1069300532939295,431.26351407073633,1069.3005329392934,-638.0370188685571,209,32,246,39
