Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,R2,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2,CM_TN,CM_FP,CM_FN,CM_TP
pred_TemporalFusionTransformer,0.6102930987287387,0.8081872885159577,3.4382495784867553,3.4314986537374876,3.460840410409253,0.49340363486295064,-6.119993578815456,0.5772644611832545,-2.94168355444014,0.4907102195964751,1.0638896292767706,1.0879221391740646,63.84492325822716,181.9380378723145,-118.09311461408734,1.06388962927677,1.0879221391740646,638.8962927677021,879.221391740645,-240.32509897294295,116,130,135,147
pred_PatchTST,0.40063118399617326,0.47059678219412876,2.6486107417750477,2.671293123052716,2.651818607859348,0.46906334839370933,-7.218762713384626,0.5792450940203097,-2.95071135078332,0.7417845125197888,1.0253048369968547,1.0879221391740646,18.59573545882963,181.9380378723145,-163.34230241348487,1.025304836996855,1.0879221391740646,253.04836996855084,879.221391740645,-626.1730217720942,126,120,158,124
pred_DeepAR,0.5050925679275144,0.6323626868296228,2.8444785390951637,2.8172998284785633,2.8493720181808184,0.5006899483950843,-4.324011909294123,0.6037951358638642,-2.7038697622076784,0.6625591889967419,1.0636604017497997,1.0879221391740646,150.28542604053374,181.9380378723145,-31.652611831780767,1.0636604017497997,1.0879221391740646,636.6040174979968,879.221391740645,-242.61737424264828,144,102,159,123
pred_Chronos2,0.22363896409461476,0.3027006097574554,1.4741449830934783,1.4722371706193829,1.4637088640226756,0.49576550624265614,-2.8911270800590545,0.6010109438374929,-2.929557647435315,0.8874744412334887,1.0179496955916112,1.0879221391740646,38.13899504270118,181.9380378723145,-143.7990428296133,1.0179496955916107,1.0879221391740646,179.4969559161073,879.221391740645,-699.7244358245377,106,140,124,158
pred_KNeighborsRegressor,1.8187398994300072,2.110617943626768,9.249151398578073,9.703449346553707,9.430904996748817,0.5275030816418109,-6.284724991846085,0.6211123690411131,-2.4496380277470076,-1.613467000965456,1.081833561425662,1.0879221391740646,96.09736418597439,181.9380378723145,-85.84067368634012,1.081158526101306,1.0879221391740646,811.5852610130587,879.221391740645,-67.63613072758635,176,70,177,105
pred_HistGradientBoostingRegressor,1.890355604629405,2.1686398440011105,8.035007995591005,8.725762138079471,8.305671300853326,0.4823612291056345,-6.927351443576816,0.5639872749333559,-2.9478855895025595,-1.2275843854500663,1.0381138597530484,1.0879221391740646,37.115886849675114,181.9380378723145,-144.8221510226394,1.0381138597530484,1.0879221391740646,381.138597530482,879.221391740645,-498.08279421016306,148,98,173,109
pred_RandomForestRegressor,2.4755773108134718,2.769982081364745,10.133628225197228,11.322445229267577,10.3128183688369,0.5102373025591751,-6.229925128269193,0.6615130103920153,-2.2761798105267186,-2.2289388168419695,1.1126676646472269,1.0879221391740646,125.03577714827728,181.9380378723145,-56.90226072403723,1.1126676646472269,1.0879221391740646,1126.67664647227,879.221391740645,247.45525473162488,155,91,165,117
pred_LinearRegression,2.3556341564436893,2.6854638618071163,11.572661067083345,12.193332324963354,11.67623639558845,0.47663254797225474,-7.395869453954697,0.5377290652428801,-3.1873608320244626,-2.86112016220816,1.0210503158407338,1.0879221391740646,27.292089689825342,181.9380378723145,-154.64594818248915,1.0210503158407338,1.0879221391740646,210.5031584073393,879.221391740645,-668.7182333333058,100,146,128,154
pred_Ridge,2.339447155416062,2.53319523930303,10.37830418498454,11.130918717632007,10.434115810721135,0.4877944598042343,-6.976252413368225,0.6591984139212064,-2.425543222283099,-1.6732567044166688,1.0932570357628628,1.0879221391740646,68.63757825668185,181.9380378723145,-113.30045961563265,1.093257035762863,1.0879221391740646,932.5703576286309,879.221391740645,53.348965887985834,106,140,128,154
pred_Lasso,0.2456729273504747,0.31950358779774024,1.5282823971035187,1.5300989565181224,1.5192897316249596,0.4915926692257825,-5.571895436954499,0.7787717738173783,-1.7494727406412025,0.8875542976646553,1.0466805665045922,1.0879221391740646,43.39165830480611,181.9380378723145,-138.54637956750838,1.0466805665045924,1.0879221391740646,466.8056650459228,879.221391740645,-412.41572669472225,176,70,196,86
