accion,modelo,training_time,train_emissions,inference_time,inference_emissions,num_particiones
Mapfre,Chronos2,0.0,0.0,37.973891258239746,0.0014139484223837,5
Mapfre,DeepAR,1920.3315200805664,0.0066217962088766,141.6191201210022,0.0017226387762551,5
Mapfre,HistGradientBoostingRegressor,486.93677616119385,0.0016659239737946,1.7311484813690183,0.0008855468124839,5
Mapfre,KNeighborsRegressor,73.3385910987854,0.0005484226702439307,1.7042517662048338,0.000895538375424,5
Mapfre,Lasso,84.75096559524536,0.0006290673059844,0.2274765968322752,0.0008785754390371,5
Mapfre,LinearRegression,55.455698013305664,0.00041840643164401477,0.2200493812561033,0.0008795989476502,5
Mapfre,PatchTST,1339.1216640472412,0.0044253060506273,161.83999729156494,0.0017882503868821,5
Mapfre,RandomForestRegressor,1106.5471668243408,0.0030394190312159003,3.3665037155151367,0.0008889055073911,5
Mapfre,Ridge,72.05161023139954,0.0005313917771784836,0.2233238220214841,0.0008798007459818,5
Mapfre,TemporalFusionTransformer,3294.2741417884827,0.011056461935787201,195.4646966457367,0.0019075922520662,5
