Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,ES_RENTABLE,R2,CM_TN,CM_FP,CM_FN,CM_TP,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2
pred_TemporalFusionTransformer,0.13770350707634804,0.1745656839541159,1.0004784305922318,1.000970384924481,0.9988892371207676,0.5277777777777778,-2.9882743754386887,0.550176755604807,-3.6182265621571514,False,0.5822964782980934,35,11,39,22,1.055275332796805,0.9732286102451693,76.78771324074137,-37.19043731689453,113.9781505576359,1.0552753327968047,0.9732286102451694,552.7533279680465,-267.7138975483067,820.4672255163532
pred_PatchTST,0.12112274587483057,0.14660677138619602,0.8811502223506765,0.8823439053618027,0.8786138406613108,0.4444444444444444,-3.9276322093009846,0.34019695068952127,-6.5645255217998475,False,0.7053825626585879,36,10,49,12,0.9584349116153733,0.9732286102451693,-57.74163494297886,-37.19043731689453,-20.55119762608433,0.9584349116153733,0.9732286102451694,-415.6508838462669,-267.7138975483067,-147.93698629796017
pred_DeepAR,0.16295931955340276,0.199645436458216,1.1789960673518471,1.1847819584489132,1.1820926993541816,0.49074074074074076,-4.282095348834984,0.4207348169831676,-5.153931044036352,False,0.4536522447404805,35,11,43,18,1.0216051426209034,0.9732286102451693,30.01355961433751,-37.19043731689453,67.20399693123204,1.0216051426209034,0.9732286102451694,216.05142620903462,-267.7138975483067,483.7653237573413
pred_Chronos2,0.10729396023422731,0.14110916336983934,0.781478487310242,0.779448675173017,0.7783010350390825,0.5185185185185185,-1.683453057765964,0.29154306723383633,-7.8289805563646615,False,0.7270640002420673,17,29,22,39,0.9599554124750159,0.9732286102451693,-55.62937657952875,-37.19043731689453,-18.43893926263422,0.959955412475016,0.9732286102451694,-400.44587524983945,-267.7138975483067,-132.73197770153274
pred_KNeighborsRegressor,0.2633280858072532,0.33470204858494473,1.9364711145099418,1.909242868362169,1.9101589809084696,0.5833333333333334,-4.7253832273483205,0.4329937377314312,-4.775560097465064,False,-0.5355611972761101,14,32,12,49,1.0318925552400522,0.9732286102451693,44.30468822847479,-37.19043731689453,81.49512554536932,1.0318925552400526,0.9732286102451694,318.9255524005257,-267.7138975483067,586.6394499488324
pred_HistGradientBoostingRegressor,0.12321066360928137,0.16185134609783405,0.9012157959485894,0.8963349542208121,0.8937594139093482,0.6018518518518519,-2.668249583244313,0.4789075501733021,-4.456472439567583,False,0.6409267772119758,18,28,14,47,1.0717601145826516,0.9732286102451693,99.68813975216608,-37.19043731689453,136.8785770690606,1.071760114582651,0.9732286102451694,717.6011458265093,-267.7138975483067,985.315043374816
pred_RandomForestRegressor,0.13525945235375286,0.175148481629973,0.9910312140870254,0.9839734469326458,0.9811602772041483,0.6018518518518519,-3.0345855951309084,0.517703756105976,-3.878156405724499,False,0.5795027676465361,11,35,7,54,1.086571732682553,0.9732286102451693,120.26423085355418,-37.19043731689453,157.4546681704487,1.086571732682553,0.9732286102451694,865.7173268255301,-267.7138975483067,1133.4312243738368
pred_LinearRegression,0.31090881039336327,0.4174900802668771,2.275942313151434,2.24260629999993,2.2553054095838236,0.5185185185185185,-4.996454356193539,0.4257465222064603,-5.088958629831729,False,-1.3891461093325619,16,30,21,40,1.0083976819689886,0.9732286102451693,11.66594142982558,-37.19043731689453,48.85637874672011,1.0083976819689888,0.9732286102451694,83.97681968988763,-267.7138975483067,351.69071723819434
pred_Ridge,0.5152255427585214,0.5935410767130128,3.757263846464092,3.6656461893394674,3.737401176470035,0.5555555555555556,-6.880111722469331,0.3080897445799642,-6.566894719505634,False,-3.8289415487052914,0,46,1,60,0.9612961021155535,0.9732286102451693,-53.76690942730238,-37.19043731689453,-16.57647211040785,0.961296102115554,0.9732286102451694,-387.03897884445905,-267.7138975483067,-119.32508129615235
pred_Lasso,0.1028740477748929,0.1390136340530556,0.7501289791902758,0.7464233144026718,0.7462393753298837,0.5648148148148148,-3.7594154286384547,0.36779033187884586,-5.532118460379878,False,0.735110232860787,0,46,0,61,0.9732286102451693,0.9732286102451693,-37.19043731689453,-37.19043731689453,0.0,0.9732286102451695,0.9732286102451694,-267.7138975483049,-267.7138975483067,1.8189894035458565e-12
