Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,ES_RENTABLE,R2,CM_TN,CM_FP,CM_FN,CM_TP,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2
pred_TemporalFusionTransformer,0.015276359680660996,0.019708233098901403,2.1401274273082964,2.111873966739229,2.0938858808593763,0.5045871559633027,-0.25497629621624945,0.6574908462346356,-2.2441283119963824,False,0.8938737129042594,11,46,7,44,0.8626834179547435,0.8121693037512596,-11.574764706127894,-15.832728147506714,4.25796344137882,0.8626834179547439,0.8121693037512596,-1373.165820452561,-1878.3069624874033,505.14114203484223
pred_PatchTST,0.03456786393499542,0.0447114246347386,5.054784092080586,4.844239109273246,4.73811586909579,0.5229357798165137,-0.2674013989567756,0.669431951640831,-2.0670878091518308,False,0.4537837631909366,12,45,6,45,0.9666240851849649,0.8121693037512596,-2.8133409314577733,-15.832728147506714,13.01938721604894,0.9666240851849643,0.8121693037512596,-333.75914815035685,-1878.3069624874033,1544.5478143370465
pred_DeepAR,0.053590013142758075,0.06970453419149254,7.854757247188342,7.352594371251516,7.345426149970977,0.5504587155963303,-0.19865419349074362,0.7458583218878405,-1.5082316962320887,False,-0.32754621413066687,15,42,6,45,0.9916648477528622,0.8121693037512596,-0.7025912283381501,-15.832728147506714,15.130136919168564,0.9916648477528631,0.8121693037512596,-83.3515224713683,-1878.3069624874033,1794.955440016035
pred_Chronos2,0.013221118813286083,0.01739687580907668,1.840893476098712,1.8310542484528778,1.8121800344456251,0.47706422018348627,-0.13237376672029494,0.7123505733409059,-1.8253750977243604,False,0.9173067394485457,18,39,17,34,0.7733962640656092,0.8121693037512596,-19.101006491012612,-15.832728147506714,-3.268278343505898,0.773396264065609,0.8121693037512596,-2266.03735934391,-1878.3069624874033,-387.73039685650656
pred_KNeighborsRegressor,0.1308368063635297,0.16314447506910512,18.95826484856007,16.508867142473136,17.933417860548378,0.48623853211009177,-0.42423088958859445,0.5485111578893824,-3.09990061685311,False,-6.272309132208746,7,50,5,46,0.8561089615395223,0.8121693037512596,-12.128942394965193,-15.832728147506714,3.7037857525415205,0.8561089615395222,0.8121693037512596,-1438.9103846047783,-1878.3069624874033,439.396577882625
pred_HistGradientBoostingRegressor,0.15044378903248654,0.1644584344615808,21.508702064311603,18.992050618173394,20.620889551121117,0.4954128440366973,-0.4445379082560539,0.5244367142804489,-3.3146069345773053,False,-6.389922661908733,3,54,0,51,0.8584199860477247,0.8121693037512596,-11.934140248610262,-15.832728147506714,3.8985878988964515,0.8584199860477251,0.8121693037512596,-1415.8001395227493,-1878.3069624874033,462.506822964654
pred_RandomForestRegressor,0.2152400460085858,0.2295840442263498,30.273600069501725,25.796295991450386,29.50232272309259,0.46788990825688076,-0.49150756907463067,0.4989632469067608,-3.5885364064323864,False,-13.401608268986397,1,56,1,50,0.819408016487394,0.8121693037512596,-15.2225586002601,-15.832728147506714,0.6101695472466133,0.8194080164873927,0.8121693037512596,-1805.919835126073,-1878.3069624874033,72.38712736133039
pred_LinearRegression,0.12688327130115404,0.14729711580811522,18.166673282127555,16.134806189736288,17.39151838844635,0.47706422018348627,-0.4076854510009289,0.5628718831550056,-2.976163535899545,False,-4.928107576273939,2,55,1,50,0.8508173071236297,0.8121693037512596,-12.574989433551636,-15.832728147506714,3.257738713955078,0.8508173071236289,0.8121693037512596,-1491.8269287637104,-1878.3069624874033,386.48003372369294
pred_Ridge,0.1695344491108847,0.18454539882519233,24.201553430813888,21.07958725574506,23.237590416383412,0.46788990825688076,-0.4972222557365894,0.49695060418384046,-3.610748251769555,False,-8.305378290570154,0,57,0,51,0.8121693037512596,0.8121693037512596,-15.832728147506714,-15.832728147506714,0.0,0.8121693037512606,0.8121693037512596,-1878.3069624873933,-1878.3069624874033,1.000444171950221e-11
pred_Lasso,0.013160179746692022,0.01771066737220155,1.837856653387835,1.822043294370369,1.8038272950625909,0.5137614678899083,-0.11665865617990494,0.7563712442905636,-1.4430958960107794,False,0.9142967200729292,15,42,10,41,0.933218392787865,0.8121693037512596,-5.629191891207711,-15.832728147506714,10.203536256299003,0.9332183927878653,0.8121693037512596,-667.8160721213462,-1878.3069624874033,1210.490890366057
