Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,R2,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2,CM_TN,CM_FP,CM_FN,CM_TP
pred_TemporalFusionTransformer,0.04822558448734092,0.0630079516356157,2.2348611322429885,2.2375210354313677,2.19526599792919,0.5058554855073761,-0.7887305881381033,0.5695265520134993,-3.17287348162412,0.8381882163453955,1.0932175902939174,1.1635056217090276,19.056154893303884,27.88204193115235,-8.825887037848466,1.0932175902939179,1.1635056217090276,932.1759029391778,1635.056217090277,-702.8803141510991,130,102,156,139
pred_PatchTST,0.04413357428508388,0.054795120875310445,2.327961425453622,2.325821981772333,2.264512473277398,0.48995119659271247,-0.9410385441303258,0.5404172897033248,-3.5424882427065447,0.8383398708314387,1.0949195685820947,1.1635056217090276,18.89979134419218,27.88204193115235,-8.982250586960168,1.094919568582095,1.1635056217090276,949.195685820949,1635.056217090277,-685.8605312693279,143,89,177,118
pred_DeepAR,0.061307671130200005,0.07366887317660098,3.120118664483299,3.143315434151722,3.0860621784631865,0.47715977140696336,-1.037075729703903,0.5066319513830896,-3.870592938414235,0.6932484407025917,1.085948316754147,1.1635056217090276,13.507834095759133,27.88204193115235,-14.374207835393216,1.085948316754147,1.1635056217090276,859.4831675414716,1635.056217090277,-775.5730495488053,155,77,196,99
pred_Chronos2,0.02862407965540642,0.03762445051507164,1.4642971684907977,1.4606924066618991,1.43333761484636,0.4920065128789298,-0.42059615939855544,0.5244738737470123,-3.6493095346208344,0.9303188139369839,1.1171281005539933,1.1635056217090276,18.89090460140913,27.88204193115235,-8.99113732974322,1.1171281005539935,1.1635056217090276,1171.2810055399339,1635.056217090277,-463.775211550343,91,141,124,171
pred_KNeighborsRegressor,0.18457099999325322,0.21478825889786993,9.362085305698448,9.696381733238168,9.469002360350933,0.5075044700076854,-0.9233014417529105,0.5737492706519083,-3.2174332779272574,-1.177879058702179,1.1041492942109954,1.1635056217090276,18.702706210268566,27.88204193115235,-9.179335720883785,1.1041492942109958,1.1635056217090276,1041.492942109958,1635.056217090277,-593.563274980319,165,67,190,105
pred_HistGradientBoostingRegressor,0.12378200242638193,0.14741964245538455,5.18024812233899,5.313578465228035,5.193770454591301,0.47764428632044165,-1.1172463297724724,0.4828799336277439,-4.094607145862872,-0.5917921269778909,1.0287421690171263,1.1635056217090276,5.226265536239302,27.88204193115235,-22.655776394913048,1.0287421690171263,1.1635056217090276,287.4216901712636,1635.056217090277,-1347.6345269190133,154,78,195,100
pred_RandomForestRegressor,0.14270601458259852,0.16632329155957654,6.734560689949211,7.002603599348919,6.825415215543558,0.48668983407344035,-1.1935885672569275,0.4726080618622464,-4.164384734564157,-0.6341304300255761,1.0225627717429668,1.1635056217090276,1.7971492124159056,27.88204193115235,-26.084892718736445,1.0225627717429668,1.1635056217090276,225.6277174296687,1635.056217090277,-1409.4284996606082,186,46,222,73
pred_LinearRegression,0.31547814992349776,0.3690956865866881,16.2111325953375,18.794183524946565,16.467007602781294,0.495863118989673,-1.0324918438911443,0.5245297168463553,-3.7173728650636173,-5.688850970487713,1.0517926093049859,1.1635056217090276,10.789998478931604,27.88204193115235,-17.092043452220743,1.0517926093049859,1.1635056217090276,517.9260930498582,1635.056217090277,-1117.1301240404187,173,59,204,91
pred_Ridge,0.15177872985081992,0.1744348350682016,8.138877247729607,8.285378039549844,8.100771910680752,0.48860159660854163,-1.073249526369572,0.5254227527990245,-3.7694204726883513,-0.4677777483077244,1.055368535852819,1.1635056217090276,7.908683350978,27.88204193115235,-19.97335858017435,1.055368535852819,1.1635056217090276,553.6853585281922,1635.056217090277,-1081.3708585620848,160,72,195,100
pred_Lasso,0.03194401969518178,0.04104879096354522,1.6042975584902348,1.599453225855163,1.579493216610976,0.5089819955973605,-0.7413324638366701,0.597514027535138,-3.0880590131438153,0.9237018697062014,1.1122442520332272,1.1635056217090276,18.564021829029606,27.88204193115235,-9.318020102122745,1.1122442520332272,1.1635056217090276,1122.4425203322721,1635.056217090277,-512.6136967580048,105,127,129,166
