Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,ES_RENTABLE,R2,CM_TN,CM_FP,CM_FN,CM_TP,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2
pred_TemporalFusionTransformer,0.07409177448347669,0.09982070689888639,2.4559534232664393,2.414124915843095,2.4253067697844104,0.5779816513761468,-0.6444920581579218,0.7584209582743604,-1.4488418344398297,False,0.5884158716396861,21,29,16,42,1.1502926096849884,1.0063270357800107,47.60259729423797,2.0039796829223064,45.59861761131566,1.1502926096849884,1.0063270357800107,1502.9260968498838,63.27035780010738,1439.6557390497765
pred_PatchTST,0.05119674450491782,0.06988777506552558,1.6781914833951468,1.6687939053782421,1.675864991820257,0.48623853211009177,-0.9752522355318067,0.6143927965555253,-2.6035287790331516,False,0.7982471092886385,6,44,11,47,0.8648915284623845,1.0063270357800107,-42.79328288413848,2.0039796829223064,-44.797262567060784,0.864891528462383,1.0063270357800107,-1351.0847153761697,63.27035780010738,-1414.355073176277
pred_DeepAR,0.12229918263431344,0.14967639712399006,3.908823125434789,3.993561707041806,4.003319365069985,0.5229357798165137,-0.8850698336362834,0.7292831582141469,-1.7119275816811912,False,0.07461175555145183,41,9,42,16,1.068404822162673,1.0063270357800107,21.66605004210612,2.0039796829223064,19.662070359183815,1.0684048221626727,1.0063270357800107,684.0482216267283,63.27035780010738,620.7778638266209
pred_Chronos2,0.05097785262340964,0.06857982225886552,1.6707812141734237,1.6655329511851558,1.668699824488612,0.5871559633027523,-0.10310740077495578,0.9271841913538541,-0.4013492437377591,False,0.8057280733332033,25,25,19,39,1.1404697412021498,1.0063270357800107,44.49137277266698,2.0039796829223064,42.48739308974467,1.1404697412021498,1.0063270357800107,1404.6974120214982,63.27035780010738,1341.4270542213908
pred_KNeighborsRegressor,0.16166246599621245,0.1899439187351844,5.399190835477153,5.246530671069615,5.291829976188446,0.6422018348623854,0.07610019910335647,1.0275734018734146,0.14150855805714718,True,-0.49028086169072904,20,30,8,50,1.2937836593534813,1.0063270357800107,93.05091752111741,2.0039796829223064,91.0469378381951,1.2937836593534797,1.0063270357800107,2937.8365935347974,63.27035780010738,2874.56623573469
pred_HistGradientBoostingRegressor,0.11816664793309731,0.147851481921825,3.797612348022724,3.841057838123129,3.8680457202274843,0.5688073394495413,-0.5645072532892221,0.8208450567073609,-1.036409258496743,False,0.09703960810300927,26,24,22,36,1.1532956551341804,1.0063270357800107,48.55376025210933,2.0039796829223064,46.54978056918702,1.1532956551341798,1.0063270357800107,1532.9565513417983,63.27035780010738,1469.686193541691
pred_RandomForestRegressor,0.12199399091835852,0.1515578432310383,3.917901613097157,3.9693556355113966,3.9933292745376994,0.5688073394495413,-0.6257581449747094,0.8022575433629492,-1.1574239190719018,False,0.051201106484578984,27,23,23,35,1.1729255616133856,1.0063270357800107,54.77119526113415,2.0039796829223064,52.76721557821185,1.1729255616133847,1.0063270357800107,1729.255616133847,63.27035780010738,1665.9852583337397
pred_LinearRegression,0.19017865626820707,0.23629311248069548,6.170998885522987,6.252176327735978,6.225273800381811,0.5596330275229358,-0.6393337472677214,0.7918577498923884,-1.2289716243612678,False,-1.3063194558857303,29,21,26,32,1.1380784544779787,1.0063270357800107,43.73397386140738,2.0039796829223064,41.72999417848507,1.138078454477979,1.0063270357800107,1380.78454477979,63.27035780010738,1317.5141869796826
pred_Ridge,0.12209200192553217,0.1601980039475278,3.882089208630837,3.9968126013221075,3.996537549152106,0.5137614678899083,-1.0090279757976506,0.6956439919209437,-1.9455277876710877,False,-0.060062662031993286,35,15,37,21,1.0313369298622486,1.0063270357800107,9.925433165323454,2.0039796829223064,7.921453482401148,1.0313369298622488,1.0063270357800107,313.3692986224869,63.27035780010738,250.09894082237952
pred_Lasso,0.05004418397852528,0.06712454617150483,1.6365557338081569,1.633126230507171,1.6381372836268264,0.5596330275229358,-0.2997025172710428,0.8378365002522659,-0.9213401524018722,False,0.8138855634864813,26,24,23,35,1.1781473504014528,1.0063270357800107,56.425106982774594,2.0039796829223064,54.42112729985229,1.1781473504014526,1.0063270357800107,1781.473504014526,63.27035780010738,1718.2031462144187
