Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,R2,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2,CM_TN,CM_FP,CM_FN,CM_TP
pred_TemporalFusionTransformer,0.11352977956366932,0.14252285157041478,2.6869237359007068,2.70705440143618,2.6751851739343273,0.5007815154604145,-1.5538759665727617,0.5788616634553249,-3.1571065308672988,0.7646810183354833,1.1037477638810385,1.2102654044832648,39.331538864955505,75.46678543090817,-36.135246565952684,1.1037477638810385,1.2102654044832648,1037.4776388103844,2102.6540448326473,-1065.1764060222627,136,107,159,136
pred_PatchTST,0.10147869407964005,0.11735303690058914,2.712260045014381,2.7561652596807185,2.7277803216834267,0.4841318382602786,-1.817460431432724,0.5722173878613036,-3.2219570470970247,0.7677855363060039,1.0639623081755576,1.2102654044832648,19.963576877036047,75.46678543090817,-55.50320855387213,1.0639623081755576,1.2102654044832648,639.623081755576,2102.6540448326473,-1463.0309630770712,124,119,156,139
pred_DeepAR,0.12851065651690405,0.15605182800927492,3.738103150613469,3.8288638124664507,3.7899838553169736,0.48973836221542644,-1.595320616197587,0.5818025165295356,-3.0836422404839277,0.4704252972232202,1.0790663705703543,1.2102654044832648,30.699736311813382,75.46678543090817,-44.7670491190948,1.0790663705703538,1.2102654044832648,790.663705703539,2102.6540448326473,-1311.9903391291082,187,56,216,79
pred_Chronos2,0.05717402306505694,0.07408904773694622,1.515058617054233,1.5160307490504328,1.4949678254517011,0.5377336051647978,-0.4353043891429902,0.7594638862236001,-1.6380040584506763,0.8936125430483468,1.1791904693022435,1.2102654044832648,57.35391666850055,75.46678543090817,-18.11286876240763,1.179190469302244,1.2102654044832648,1791.9046930224376,2102.6540448326473,-310.74935181020953,109,134,112,183
pred_KNeighborsRegressor,0.36289144192845596,0.4309727687310618,8.657246747044452,9.196055832974881,8.983961714037411,0.5412334352701326,-1.4302636278629297,0.7076607234875578,-2.2088782065883468,-0.8346816382804046,1.1857992858719535,1.2102654044832648,61.41466195621541,75.46678543090817,-14.052123474692763,1.1857992858719535,1.2102654044832648,1857.9928587195343,2102.6540448326473,-244.66118611311276,179,64,180,115
pred_HistGradientBoostingRegressor,0.30069167925213486,0.3590227135398826,6.119139446003942,6.434319318642406,6.330182958832225,0.500747536527353,-1.6270462692975993,0.6429917133025123,-2.5794446847606567,-0.23125773105704708,1.1382359123749943,1.2102654044832648,42.09908902673355,75.46678543090817,-33.36769640417463,1.1382359123749943,1.2102654044832648,1382.3591237499418,2102.6540448326473,-720.2949210827053,153,90,176,119
pred_RandomForestRegressor,0.35913152926599473,0.42678696252506193,8.084145661742259,8.301375480114071,8.24443432915361,0.48241590214067276,-1.9183293656349185,0.5805793280964908,-3.1612119892845163,-1.264116798444744,1.0927147187194373,1.2102654044832648,28.47103955038392,75.46678543090817,-46.99574588052426,1.0927147187194368,1.2102654044832648,927.1471871943683,2102.6540448326473,-1175.506857638279,122,121,155,140
pred_LinearRegression,0.5976495508443856,0.7119626369721802,13.894361385795452,16.204324894416168,14.428391887596854,0.48975535168195716,-1.9868868040800092,0.5906015426534853,-3.176247545168875,-3.8603477673849476,1.0989797388491165,1.2102654044832648,29.204956138409614,75.46678543090817,-46.26182929249857,1.0989797388491167,1.2102654044832648,989.7973884911665,2102.6540448326473,-1112.8566563414806,163,80,192,103
pred_Ridge,0.282650021164669,0.3281758023972272,6.472733834012613,6.788481951503658,6.65443626229059,0.48059802922188244,-2.078478748631477,0.5871810912121986,-3.199892011812274,-0.05021480658309365,1.0739304887168557,1.2102654044832648,15.60011124662618,75.46678543090817,-59.86667418428199,1.0739304887168555,1.2102654044832648,739.3048871685533,2102.6540448326473,-1363.349157664094,173,70,207,88
pred_Lasso,0.07229370433047935,0.08874353589959227,1.7722017028271047,1.7801420023870727,1.7746667941001775,0.5210329595650697,-1.3317351794242867,0.7073789036745224,-2.1833628127410574,0.885063919314773,1.1944847606671136,1.2102654044832648,51.46152897485457,75.46678543090817,-24.005256456053605,1.1944847606671138,1.2102654044832648,1944.8476066711373,2102.6540448326473,-157.80643816150987,134,109,146,149
