Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,ES_RENTABLE,R2,CM_TN,CM_FP,CM_FN,CM_TP,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2
pred_TemporalFusionTransformer,0.058396775206012934,0.07517274079789736,2.884054060873327,2.952518463701485,2.9078400066491854,0.4470588235294118,-0.7815392746329299,0.44214756205370725,-4.219657590748532,False,0.8536901529188508,26,7,39,12,1.0865293063194443,1.3908450204613123,14.321488078168755,64.6888613700867,-50.36737329191794,1.086529306319444,1.3908450204613123,865.2930631944419,3908.450204613124,-3043.157141418682
pred_PatchTST,0.02838445530136096,0.03767879040451957,1.417458478242401,1.412757501125228,1.4133906264698044,0.6,-0.09744417333602773,0.8962812706154671,-0.557401955491046,False,0.9632424386203738,5,28,5,46,1.3358986656771497,1.3908450204613123,55.59467584553008,64.6888613700867,-9.094185524556622,1.3358986656771499,1.3908450204613123,3358.9866567715,3908.450204613124,-549.463547841624
pred_DeepAR,0.14217733490193757,0.1564819612776864,7.164043515305204,7.491514037118964,7.079653645395886,0.38823529411764707,-1.3463228070139888,0.275912642799997,-6.603368821102698,False,0.36601154696780047,33,0,51,0,1.0000000000000002,1.3908450204613123,2.842170943040401e-14,64.6888613700867,-64.68886137008667,1.0,1.3908450204613123,0.0,3908.450204613124,-3908.450204613124
pred_Chronos2,0.024647093065023145,0.034639902806685816,1.2240905426267188,1.2313995546664893,1.2272904284396233,0.5411764705882353,-0.3053568017482758,0.4405324422593061,-3.4651773550686396,False,0.9689325136517788,17,16,22,29,1.1082943720946126,1.3908450204613123,17.923829796578957,64.6888613700867,-46.76503157350774,1.1082943720946126,1.3908450204613123,1082.9437209461266,3908.450204613124,-2825.506483666997
pred_KNeighborsRegressor,0.4673403595175061,0.5157264186541681,22.48110588636978,25.852996121773806,23.270993806296527,0.38823529411764707,-1.3629623512625697,0.27346535244555625,-6.656047735049394,False,-5.886388894809057,33,0,51,0,1.0000000000000002,1.3908450204613123,2.842170943040401e-14,64.6888613700867,-64.68886137008667,1.0,1.3908450204613123,0.0,3908.450204613124,-3908.450204613124
pred_HistGradientBoostingRegressor,0.4009763430123905,0.4481400616147177,19.213798857427676,21.668962626961726,19.966428759430176,0.38823529411764707,-1.3629623512625697,0.27346535244555625,-6.656047735049394,False,-4.199724402736279,33,0,51,0,1.0000000000000002,1.3908450204613123,2.842170943040401e-14,64.6888613700867,-64.68886137008667,1.0,1.3908450204613123,0.0,3908.450204613124,-3908.450204613124
pred_RandomForestRegressor,0.4038291433564985,0.4491176718891693,19.387884058403625,21.85625336320493,20.108482613299927,0.38823529411764707,-1.3629623512625697,0.27346535244555625,-6.656047735049394,False,-4.222435376420275,33,0,51,0,1.0000000000000002,1.3908450204613123,2.842170943040401e-14,64.6888613700867,-64.68886137008667,1.0,1.3908450204613123,0.0,3908.450204613124,-3908.450204613124
pred_LinearRegression,0.41180165594161416,0.4751384063193505,19.593734601129416,22.347394923870148,20.505470134729478,0.4,-1.2813726524710654,0.2998559485068807,-6.222619458573507,False,-4.845114997084962,33,0,50,1,1.024647927647977,1.3908450204613123,4.079484939575281,64.6888613700867,-60.60937643051142,1.0246479276479767,1.3908450204613123,246.47927647976758,3908.450204613124,-3661.970928133356
pred_Ridge,0.2960853703166737,0.3433216618266219,14.079582515349957,15.448064814377146,14.743432015775277,0.38823529411764707,-1.3629623512625697,0.27346535244555625,-6.656047735049394,False,-2.0517938862001404,33,0,51,0,1.0000000000000002,1.3908450204613123,2.842170943040401e-14,64.6888613700867,-64.68886137008667,1.0,1.3908450204613123,0.0,3908.450204613124,-3908.450204613124
pred_Lasso,0.03668397053773921,0.04643613135441804,1.790203517630871,1.814032857558863,1.826661091405515,0.38823529411764707,-1.3629623512625697,0.27346535244555625,-6.656047735049394,False,0.9441703572786055,33,0,51,0,1.0000000000000002,1.3908450204613123,2.842170943040401e-14,64.6888613700867,-64.68886137008667,1.0,1.3908450204613123,0.0,3908.450204613124,-3908.450204613124
