Modelo,MAE,RMSE,MAPE,SMAPE,WAPE,CAMBIO,SUM PNL,PROFIT FACTOR,SHARPE,R2,PATRIMONIO_RATIO_ESTRATEGIA,PATRIMONIO_RATIO_HOLD,DIFF_ESTRATEGIA,DIFF_HOLD,DIFF_STRATEGY - DIFF_HOLD,PATRIMONIO_RATIO_ESTRATEGIA2,PATRIMONIO_RATIO_HOLD2,DIFF_ESTRATEGIA2,DIFF_HOLD2,DIFF_STRATEGY - DIFF_HOLD 2,CM_TN,CM_FP,CM_FN,CM_TP
pred_TemporalFusionTransformer,0.028606735799923844,0.038049978768170664,3.09272637584939,3.095581640074914,3.085385389934532,0.4780900508351489,-0.2927514973670242,0.638860061257053,-2.5886529620206487,0.6334571915074545,1.0222695902164463,1.084525235667154,2.7782953653358744,10.677258968353277,-7.898963603017402,1.022269590216446,1.084525235667154,222.6959021644605,845.2523566715402,-622.5564545070795,109,102,110,90
pred_PatchTST,0.022210391289037817,0.028630028295848597,2.6490929130639578,2.612488589175492,2.6188253082400985,0.4867527751841477,-0.16202251912951438,0.8173368051755034,-1.6069709256213418,0.641616650333064,1.0884697941427233,1.084525235667154,10.049389068798025,10.677258968353277,-0.6278698995552517,1.0884697941427233,1.084525235667154,884.6979414272325,845.2523566715402,39.44558475569265,62,149,59,141
pred_DeepAR,0.060583920884684804,0.06890746504011466,5.9768902800470896,5.95713376284454,5.938942934089096,0.48021060275962235,-0.4362771771997213,0.6363049996828383,-2.878341277985109,-0.33529873182390263,1.0420493259443255,1.084525235667154,-0.1563681829688548,10.677258968353277,-10.833627151322132,1.0420493259443255,1.084525235667154,420.49325944325426,845.2523566715402,-424.75909722828567,135,76,135,65
pred_Chronos2,0.01561392056001206,0.0218596181906246,1.8377447118725485,1.8431972253363966,1.8499793505339297,0.5267278763357195,-0.16105582966208462,0.6884137869280373,-2.141071530335205,0.8605116124751688,1.0104897009697766,1.084525235667154,1.4640597349640738,10.677258968353277,-9.213199233389203,1.0104897009697769,1.084525235667154,104.897009697768,845.2523566715402,-740.3553469737719,100,111,81,119
pred_KNeighborsRegressor,0.15931090925246977,0.17883004025376462,13.826244888455204,14.103340252306674,14.094309350908095,0.49075215271293704,-0.38810100424289706,0.7054472680346022,-2.4142783254766407,-5.810170194902501,1.0758925315816874,1.084525235667154,4.295459897982648,10.677258968353277,-6.3817990703706275,1.0758925315816878,1.084525235667154,758.925315816877,845.2523566715402,-86.32704085466303,114,97,110,90
pred_HistGradientBoostingRegressor,0.12554562704994643,0.1418309453061893,10.622182913115896,10.958117066680973,10.824056952281387,0.44221910986616864,-0.47885071999728684,0.5537849924424296,-3.350154866490962,-2.3602493855518447,0.9910497089878838,1.084525235667154,-1.331772567499995,10.677258968353277,-12.009031535853271,0.9910497089878835,1.084525235667154,-89.50291012116426,845.2523566715402,-934.7552667927042,96,115,112,88
pred_RandomForestRegressor,0.12408384940533904,0.1393454654730751,10.363657806263816,10.711047032081632,10.564059323778132,0.4614752567693744,-0.42456731457114233,0.6458877523775345,-2.759803125897915,-2.237602603537634,1.0229811630049999,1.084525235667154,0.49846321122057163,10.677258968353277,-10.178795757132706,1.0229811630049999,1.084525235667154,229.81163004999834,845.2523566715402,-615.4407266215417,89,122,97,103
pred_LinearRegression,0.16995495592542936,0.1992839738126239,17.147248367581103,16.869228764539905,17.331209984184863,0.4329920116194626,-0.5100540643990039,0.5248416687520265,-3.457808042705897,-7.5140540464074705,0.9594951919686483,1.084525235667154,-3.5647101028572123,10.677258968353277,-14.241969071210491,0.9594951919686487,1.084525235667154,-405.04808031351456,845.2523566715402,-1250.3004369850546,77,134,97,103
pred_Ridge,0.14731342848467724,0.1682397210568403,15.884866360452403,15.1462082860153,15.943025590952214,0.423115468409586,-0.5542429896831512,0.48357531130208464,-3.901036355831107,-6.698776946594951,0.9448569120047354,1.084525235667154,-5.16480964196771,10.677258968353277,-15.842068610320988,0.9448569120047352,1.084525235667154,-551.4308799526468,845.2523566715402,-1396.6832366241867,89,122,113,87
pred_Lasso,0.028103505167175597,0.034490481529439995,3.497809772923142,3.4152863467707433,3.4523714320412986,0.435252619566345,-0.48016029349565514,0.5432837035599722,-3.3942480637705,0.5506471103319542,0.9774656411197082,1.084525235667154,-2.9683220886327772,10.677258968353277,-13.645581056986055,0.9774656411197086,1.084525235667154,-225.3435888029153,845.2523566715402,-1070.5959454744552,79,132,98,102
